GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "04000","Arizona",6,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",91972.3,99006.9,107470.5,116521.5,121913.8,128044.8,135951.0,147499.2,161460.6,175151.3,185007.4,186485.1,181387.9,186603.4,193885.6,199385.3,205458.1,215648.3,225843.9,235897.2,250736.6,264430.8,276910.4
 "04000","Arizona",6,SAEXP1,2,"..."," Goods","Millions of current dollars",34461.2,36598.8,40160.0,43870.3,45355.9,46985.9,50239.1,55642.0,62184.3,68258.3,71217.2,69013.4,63025.3,65045.3,68900.3,70753.4,72599.2,76075.8,77726.7,79881.2,84642.1,89017.3,92761.4
 "04000","Arizona",6,SAEXP1,3,"...","  Durable goods","Millions of current dollars",12853.7,14247.4,15616.4,17321.6,17961.1,18970.0,19939.3,22074.1,24348.6,26329.9,26477.2,22915.5,19954.6,20486.7,21711.4,22647.2,23646.8,24995.2,26540.4,27619.4,29456.9,31192.5,32785.8
 "04000","Arizona",6,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",5311.8,5866.3,6464.6,6891.5,7380.8,7653.3,7892.6,8437.4,9076.6,9289.2,9417.9,7242.9,6099.2,6541.3,7121.4,7941.8,8513.0,9026.0,9831.5,10094.8,10672.3,11461.4,11745.2
 "04000","Arizona",6,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",3055.6,3390.1,3634.1,4077.3,4205.6,4467.3,4707.3,5379.5,6179.1,6736.9,6393.4,5560.1,4710.0,4696.4,5013.0,5039.3,5153.0,5566.2,5904.1,6391.3,6973.1,7318.7,7703.3
 "04000","Arizona",6,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",2926.6,3314.9,3689.2,4316.1,4312.8,4602.6,4874.2,5500.4,6042.6,6796.6,6825.7,6396.0,5529.8,5497.8,5634.8,5674.8,5868.3,6109.9,6219.9,6464.2,6963.5,7377.7,8116.5
 "04000","Arizona",6,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",1559.6,1676.2,1828.5,2036.6,2061.9,2246.8,2465.1,2756.8,3050.3,3507.3,3840.2,3716.5,3615.7,3751.1,3942.2,3991.3,4112.5,4293.1,4584.9,4669.0,4848.1,5034.7,5220.7
 "04000","Arizona",6,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",21607.6,22351.4,24543.6,26548.8,27394.8,28015.9,30299.8,33567.9,37835.6,41928.3,44739.9,46097.9,43070.7,44558.6,47188.9,48106.2,48952.3,51080.6,51186.3,52261.8,55185.2,57824.8,59975.6
 "04000","Arizona",6,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",8129.8,8458.8,9157.9,9425.2,9936.8,10294.2,11028.1,12273.2,13583.5,14798.3,15801.1,16408.8,16110.4,16317.3,16577.9,16835.0,17019.5,18010.2,18547.9,19194.2,19918.8,20469.7,20715.7
 "04000","Arizona",6,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",3623.1,3747.3,4010.3,4307.0,4405.9,4593.9,4853.0,5229.3,5724.7,6171.8,6386.0,6211.9,6019.6,6241.2,6460.0,6645.3,6828.4,7043.6,7245.1,7402.3,7499.3,7837.8,8033.3
 "04000","Arizona",6,SAEXP1,11,"...","   Gasoline and other energy goods","Millions of current dollars",2940.9,2647.4,2957.5,3712.8,3531.9,3211.1,3752.2,4387.5,5629.0,6483.7,7320.3,8055.2,5760.7,6479.2,7997.6,8369.8,8321.0,8008.9,6199.7,5477.9,6260.8,7091.8,7000.3
 "04000","Arizona",6,SAEXP1,12,"...","   Other nondurable goods","Millions of current dollars",6913.7,7497.8,8417.9,9103.8,9520.1,9916.6,10666.5,11678.0,12898.5,14474.5,15232.5,15422.1,15180.0,15521.0,16153.3,16256.0,16783.4,18017.9,19193.6,20187.4,21506.3,22425.5,24226.3
 "04000","Arizona",6,SAEXP1,13,"..."," Services","Millions of current dollars",57511.0,62408.1,67310.5,72651.1,76558.0,81058.9,85711.9,91857.1,99276.3,106893.0,113790.3,117471.7,118362.6,121558.1,124985.3,128631.9,132858.9,139572.5,148117.2,156016.0,166094.4,175413.5,184149.0
 "04000","Arizona",6,SAEXP1,14,"...","  Household consumption expenditures (for services)","Millions of current dollars",56580.0,61362.1,66045.5,71207.1,74967.0,79332.8,84091.9,89949.1,97747.3,104587.0,110839.3,114060.1,115171.1,118404.2,121640.3,125042.0,129069.0,135677.7,144318.5,151821.4,161743.9,170774.8,179613.0
 "04000","Arizona",6,SAEXP1,15,"...","   Housing and utilities","Millions of current dollars",16631.7,17817.5,18855.5,20230.1,21723.1,22770.1,23725.7,25306.3,27406.8,29782.6,31759.9,33635.6,35683.8,36828.8,37722.0,38419.5,39602.2,41585.8,44229.8,46420.3,48393.8,50397.1,52612.0
 "04000","Arizona",6,SAEXP1,16,"...","   Health care","Millions of current dollars",11336.2,11965.8,12678.1,13767.4,15096.1,16914.6,18554.0,20171.7,22691.1,24160.1,25807.8,27560.3,28975.1,30252.8,31041.1,32157.2,32824.1,33598.1,35819.6,38107.8,40860.7,42904.0,45876.8
 "04000","Arizona",6,SAEXP1,17,"...","   Transportation services","Millions of current dollars",3516.3,3891.5,4273.0,4613.3,4578.0,4549.1,4709.5,4959.7,5417.5,5907.6,6155.0,6125.7,5600.4,5730.3,6360.9,6694.7,6952.0,7426.3,7675.6,8072.1,8818.0,9398.2,9815.1
 "04000","Arizona",6,SAEXP1,18,"...","   Recreation services","Millions of current dollars",3381.1,3736.1,4200.5,4328.8,4531.3,4764.6,5110.1,5635.3,6058.3,6848.0,7370.2,7357.9,7201.9,7247.5,7052.8,7355.5,7828.4,8490.0,9255.9,10056.6,11113.0,11746.6,12141.6
 "04000","Arizona",6,SAEXP1,19,"...","   Food services and accommodations","Millions of current dollars",6740.4,7163.8,7711.7,8319.6,8465.3,8813.7,9454.9,10464.7,11791.4,12968.6,13998.0,13946.6,13406.0,13626.4,14208.4,14835.9,15529.3,16612.8,18035.2,18740.8,20403.2,21732.3,22488.8
 "04000","Arizona",6,SAEXP1,20,"...","   Financial services and insurance","Millions of current dollars",8506.5,9371.6,10395.8,11618.2,11597.5,11974.6,12412.3,12796.2,13246.7,12944.6,12955.0,12377.5,10959.8,11033.0,11168.5,11148.0,11658.7,12459.9,13274.9,13673.4,14552.2,15426.2,16259.1
 "04000","Arizona",6,SAEXP1,21,"...","   Other services","Millions of current dollars",6467.9,7415.9,7930.9,8329.7,8975.8,9546.1,10125.4,10615.3,11135.5,11975.5,12793.3,13056.6,13344.2,13685.4,14086.5,14431.2,14674.4,15504.9,16027.5,16750.3,17603.0,19170.4,20419.6
