GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "15000","Hawaii",8,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",25888.4,26480.1,27473.0,29315.1,30507.9,31692.0,33813.0,36309.7,39558.9,42367.7,44386.0,46601.1,46360.6,48196.8,50614.7,53034.4,54767.3,57294.7,59262.3,61463.4,64057.1,67372.3,69993.4
 "15000","Hawaii",8,SAEXP1,2,"..."," Goods","Millions of current dollars",8877.8,8792.4,9365.1,9968.7,10434.9,10835.6,11599.4,12710.5,13772.4,14593.8,15134.7,15430.4,15093.5,15531.0,16292.0,16858.6,17357.2,17743.5,17904.7,18364.3,19110.9,20163.6,20799.7
 "15000","Hawaii",8,SAEXP1,3,"...","  Durable goods","Millions of current dollars",2702.0,2748.3,3013.3,3282.2,3519.7,3848.9,4280.8,4738.7,5085.0,5279.1,5362.6,5125.1,4767.7,4827.0,5062.2,5362.9,5645.5,5794.1,5970.3,6145.1,6411.1,6780.8,6916.2
 "15000","Hawaii",8,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",886.5,932.2,1045.1,1161.8,1265.8,1471.2,1675.2,1746.4,1746.8,1675.6,1622.0,1348.9,1207.3,1237.4,1329.3,1433.8,1545.6,1641.0,1774.5,1832.1,1899.8,1935.4,1889.0
 "15000","Hawaii",8,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",616.1,615.6,670.3,721.9,795.9,851.8,954.5,1081.1,1218.5,1261.8,1267.9,1220.6,1113.1,1116.1,1132.6,1162.6,1205.9,1272.0,1340.7,1421.2,1512.6,1610.7,1649.1
 "15000","Hawaii",8,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",756.4,769.6,850.2,932.7,1019.0,1099.2,1185.6,1397.5,1539.1,1701.5,1797.5,1875.9,1796.7,1776.6,1795.0,1908.2,1926.5,1857.7,1773.1,1750.8,1811.6,1980.6,2112.8
 "15000","Hawaii",8,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",443.0,430.8,447.7,465.8,438.9,426.7,465.5,513.6,580.5,640.2,675.2,679.6,650.7,696.9,805.4,858.3,967.4,1023.4,1082.1,1141.0,1187.1,1254.0,1265.3
 "15000","Hawaii",8,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",6175.8,6044.2,6351.8,6686.5,6915.2,6986.8,7318.6,7971.9,8687.4,9314.7,9772.1,10305.4,10325.8,10704.1,11229.8,11495.8,11711.8,11949.5,11934.3,12219.2,12699.9,13382.8,13883.5
 "15000","Hawaii",8,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",2620.5,2575.6,2695.3,2816.3,2986.3,3061.5,3135.8,3340.3,3610.3,3832.4,4025.2,4227.6,4445.0,4552.6,4759.5,4800.0,4927.7,5027.8,5085.1,5167.7,5366.2,5633.7,5863.7
 "15000","Hawaii",8,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",987.4,920.5,911.0,919.3,876.6,806.6,830.2,874.9,954.2,981.3,980.1,977.9,940.2,999.3,1095.8,1175.4,1178.5,1215.8,1222.7,1264.1,1282.1,1378.8,1391.2
