GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "19000","Iowa",4,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",53685.2,56692.1,60175.3,63726.6,65572.5,67251.5,70629.4,75020.5,79074.7,83443.6,87024.6,90365.0,90328.9,93260.4,97655.1,100614.9,103064.9,106922.4,109575.9,113259.4,117647.2,121567.1,124069.7
 "19000","Iowa",4,SAEXP1,2,"..."," Goods","Millions of current dollars",20810.4,21636.7,23301.2,24595.7,24781.7,25064.8,26377.0,28431.2,29784.3,31703.0,32891.7,33743.3,32727.7,34033.8,36622.8,37643.6,38135.1,39005.1,38683.2,39215.4,40513.1,41717.2,42047.5
 "19000","Iowa",4,SAEXP1,3,"...","  Durable goods","Millions of current dollars",7676.9,8244.3,8858.1,9052.8,9159.7,9387.4,9721.9,10372.3,10402.5,10659.8,10874.9,10527.2,10411.8,10812.7,11292.2,11767.0,12153.7,12583.6,13121.9,13547.5,14012.5,14414.9,14632.3
 "19000","Iowa",4,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",3404.0,3674.8,3944.5,3899.5,4081.1,4069.3,3978.8,4084.9,3980.3,3805.2,3945.6,3656.4,3710.4,4061.0,4229.2,4515.4,4721.6,4958.0,5328.9,5452.9,5623.8,5808.3,5783.0
 "19000","Iowa",4,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",1568.7,1671.6,1821.1,1913.1,1919.6,2032.8,2125.1,2285.7,2317.4,2373.1,2356.7,2311.6,2216.8,2201.1,2276.6,2363.2,2439.1,2500.9,2571.6,2750.3,2873.0,2953.3,2972.6
 "19000","Iowa",4,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",1744.2,1893.9,2024.5,2112.9,2084.2,2180.8,2430.4,2724.4,2799.5,3043.8,3089.7,3047.3,2953.9,2963.3,3151.4,3208.8,3301.5,3386.6,3465.6,3563.8,3698.3,3818.7,4022.2
 "19000","Iowa",4,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",960.1,1004.0,1068.0,1127.3,1074.7,1104.4,1187.7,1277.2,1305.3,1437.8,1482.9,1511.9,1530.8,1587.3,1635.0,1679.5,1691.6,1738.1,1755.8,1780.5,1817.4,1834.5,1854.6
 "19000","Iowa",4,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",13133.5,13392.4,14443.1,15542.8,15622.0,15677.4,16655.2,18058.9,19381.9,21043.2,22016.8,23216.1,22315.8,23221.2,25330.6,25876.6,25981.3,26421.6,25561.4,25667.9,26500.6,27302.2,27415.1
 "19000","Iowa",4,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",4672.8,4842.5,5123.5,5313.5,5460.5,5413.7,5603.2,5935.9,6234.3,6556.6,6923.1,7284.3,7561.3,7465.9,7956.2,8195.2,8314.1,8509.9,8702.0,8845.4,8956.7,9038.7,9041.5
 "19000","Iowa",4,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",2136.0,2204.8,2322.7,2371.6,2333.4,2308.4,2372.3,2437.7,2501.6,2560.6,2512.1,2557.8,2593.8,2667.0,2671.1,2710.9,2716.5,2765.8,2799.5,2845.2,2858.2,2969.4,2973.0
 "19000","Iowa",4,SAEXP1,11,"...","   Gasoline and other energy goods","Millions of current dollars",2116.6,1912.8,2183.0,2730.8,2589.6,2393.9,2714.5,3292.9,3915.6,4485.6,4906.0,5655.9,4205.1,4926.2,6101.5,6136.4,6008.2,5718.9,4513.5,3997.8,4409.5,4907.5,4664.2
 "19000","Iowa",4,SAEXP1,12,"...","   Other nondurable goods","Millions of current dollars",4208.1,4432.2,4813.8,5127.0,5238.4,5561.4,5965.2,6392.5,6730.4,7440.3,7675.7,7718.1,7955.7,8162.0,8601.8,8834.1,8942.5,9427.0,9546.5,9979.5,10276.2,10386.6,10736.4
 "19000","Iowa",4,SAEXP1,13,"..."," Services","Millions of current dollars",32874.8,35055.4,36874.0,39130.9,40790.8,42186.6,44252.4,46589.3,49290.4,51740.6,54132.9,56621.6,57601.2,59226.6,61032.3,62971.3,64929.9,67917.2,70892.6,74043.9,77134.1,79849.9,82022.2
 "19000","Iowa",4,SAEXP1,14,"...","  Household consumption expenditures (for services)","Millions of current dollars",31192.7,33088.3,34749.0,36858.9,38253.9,39595.6,41477.4,43924.2,46601.3,48886.5,51378.9,53465.3,54233.1,55700.3,57327.0,59044.8,60918.7,63807.2,66647.9,69497.0,72417.2,74981.6,77122.9
 "19000","Iowa",4,SAEXP1,15,"...","   Housing and utilities","Millions of current dollars",8316.3,8690.9,9139.0,9801.9,10451.0,10721.8,11247.9,11833.7,12787.1,13469.6,14033.9,14408.8,14502.4,14689.9,15054.9,15507.1,16165.0,16843.3,17476.1,18282.5,19077.3,19835.2,20560.2
 "19000","Iowa",4,SAEXP1,16,"...","   Health care","Millions of current dollars",7799.8,8349.3,8796.9,9348.8,10052.8,10758.9,11215.4,11938.1,12685.8,13355.1,14037.6,14795.3,15426.0,15934.5,16397.7,16859.0,17116.2,18036.4,18838.5,19789.3,20223.7,20589.0,21145.8
 "19000","Iowa",4,SAEXP1,17,"...","   Transportation services","Millions of current dollars",1626.2,1752.0,1890.8,1946.5,1947.9,1895.2,1901.6,2004.2,2134.3,2272.8,2396.6,2464.4,2455.3,2458.6,2536.1,2589.3,2735.6,2968.7,3104.5,3198.5,3335.6,3428.3,3477.7
 "19000","Iowa",4,SAEXP1,18,"...","   Recreation services","Millions of current dollars",2419.4,2525.1,2628.7,2561.2,2536.1,2589.3,2730.6,2922.5,2998.4,3181.2,3435.9,3593.6,3741.5,3852.0,3826.8,3988.5,4093.5,4169.4,4364.8,4603.2,4616.6,4780.0,4868.5
 "19000","Iowa",4,SAEXP1,19,"...","   Food services and accommodations","Millions of current dollars",2982.1,3126.8,3235.1,3494.3,3532.0,3680.2,3866.0,4093.8,4334.0,4563.1,4792.5,5033.3,5012.0,5065.3,5297.6,5579.8,5996.0,6236.8,6550.3,6793.5,7036.1,7238.0,7336.7
 "19000","Iowa",4,SAEXP1,20,"...","   Financial services and insurance","Millions of current dollars",3182.9,3425.4,3712.9,4155.6,4070.1,4202.0,4418.0,4794.9,5121.6,5242.2,5566.2,5837.6,5617.6,5984.9,6463.9,6779.1,7089.9,7666.5,8193.4,8523.7,9485.2,10010.1,10310.1
 "19000","Iowa",4,SAEXP1,21,"...","   Other services","Millions of current dollars",4866.3,5218.7,5345.5,5550.7,5664.0,5748.2,6097.9,6337.1,6540.2,6802.5,7116.3,7332.3,7478.3,7715.2,7749.9,7741.9,7722.4,7886.2,8120.3,8306.4,8642.6,9100.9,9423.8
 "19000","Iowa",4,SAEXP1,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Millions of current dollars",1682.0,1967.0,2125.0,2272.0,2537.0,2591.0,2775.0,2665.0,2689.0,2854.0,2754.0,3156.4,3368.1,3526.3,3705.4,3926.5,4011.2,4110.0,4244.8,4546.9,4717.0,4868.3,4899.4
 "19000","Iowa",4,SAEXP1,23,"...","   Gross output of nonprofit institutions","Millions of current dollars",6067.0,6434.0,6703.0,6964.0,7541.0,7910.0,8248.0,8401.0,8669.0,8950.0,9066.0,9675.5,10258.2,10704.4,11108.5,11553.6,11795.2,12025.9,12603.7,13318.3,13691.0,14026.7,14332.5
 "19000","Iowa",4,SAEXP1,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Millions of current dollars",4385.0,4467.0,4578.0,4692.0,5004.0,5319.0,5473.0,5736.0,5980.0,6096.0,6312.0,6519.1,6890.1,7178.1,7403.1,7627.0,7784.0,7915.8,8358.9,8771.4,8974.0,9158.4,9433.1
"Note: See the included footnote file."
"SAEXP1: Total personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2013-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
