GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "16000","Idaho",7,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",21121.2,22323.0,24038.2,26034.1,27122.4,28279.9,30059.8,32431.9,35586.9,38671.7,41062.5,42178.5,41163.0,42494.6,44493.2,46269.0,48310.3,50769.3,53195.9,56089.1,59946.5,63585.1,66448.4
 "16000","Idaho",7,SAEXP1,2,"..."," Goods","Millions of current dollars",8800.7,9125.4,9913.3,10737.1,10897.8,11074.9,11883.4,12898.8,14427.3,15847.4,16651.6,16468.9,15173.0,15676.6,16477.5,17158.5,17932.8,18777.1,19178.0,19885.3,21113.1,22067.4,22512.9
 "16000","Idaho",7,SAEXP1,3,"...","  Durable goods","Millions of current dollars",3412.1,3648.6,3929.8,4165.2,4205.5,4390.0,4637.2,5136.4,5758.0,6143.6,6403.8,5813.6,5203.6,5243.7,5375.0,5650.8,6116.1,6539.5,7145.6,7630.4,8262.8,8728.8,8972.1
 "16000","Idaho",7,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",1546.4,1646.2,1727.4,1703.9,1751.8,1860.6,1896.5,2023.7,2128.4,2205.6,2344.1,1975.9,1738.3,1786.7,1834.9,1990.4,2171.2,2365.4,2666.2,2828.3,3131.6,3279.8,3229.2
 "16000","Idaho",7,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",693.3,745.8,837.0,943.9,958.3,992.0,1036.9,1165.6,1371.9,1515.5,1491.3,1370.9,1189.9,1171.3,1165.4,1211.1,1299.6,1369.3,1479.8,1573.4,1677.6,1821.6,1951.6
 "16000","Idaho",7,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",818.2,888.3,971.6,1084.0,1077.3,1108.3,1227.8,1415.3,1656.5,1746.5,1812.4,1722.8,1531.7,1516.6,1576.6,1620.7,1775.3,1905.5,2069.1,2286.3,2480.9,2610.4,2752.6
 "16000","Idaho",7,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",354.1,368.2,393.8,433.4,418.1,429.1,476.0,531.9,601.3,676.0,755.9,744.0,743.7,769.1,798.0,828.7,870.1,899.3,930.5,942.4,972.7,1017.0,1038.7
 "16000","Idaho",7,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",5388.6,5476.8,5983.5,6571.9,6692.2,6685.0,7246.2,7762.4,8669.3,9703.8,10247.8,10655.4,9969.4,10432.9,11102.5,11507.7,11816.7,12237.6,12032.4,12254.9,12850.3,13338.6,13540.8
 "16000","Idaho",7,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",2285.2,2356.4,2575.0,2718.0,2771.3,2688.7,2910.0,3079.0,3305.0,3666.7,3918.9,3950.5,3953.7,3911.6,4048.2,4269.4,4425.0,4629.3,4760.0,4920.1,5055.1,5099.8,5187.4
 "16000","Idaho",7,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",773.9,783.2,809.5,866.2,886.2,881.2,917.8,954.0,1032.6,1106.3,1161.0,1165.4,1135.3,1156.0,1178.8,1252.8,1286.9,1310.1,1347.3,1416.8,1426.8,1526.7,1563.4
