GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "25000","Massachusetts",1,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",158943.7,169102.0,180032.8,195220.1,204869.9,210850.6,221163.6,234442.3,248003.8,260461.6,270119.7,278610.5,274838.7,282701.0,292820.9,301958.5,309717.3,322597.9,335471.1,346206.2,359648.5,374377.7,387570.3
 "25000","Massachusetts",1,SAEXP1,2,"..."," Goods","Millions of current dollars",53015.5,55359.2,60129.3,65439.4,67150.7,68297.2,71091.9,76312.2,80426.1,81334.2,82811.0,83517.9,79833.9,83875.6,87680.2,89783.2,91736.3,94830.2,95996.4,97812.1,102657.2,106441.9,110480.4
 "25000","Massachusetts",1,SAEXP1,3,"...","  Durable goods","Millions of current dollars",18852.5,20265.8,22249.9,24639.3,25219.3,25931.8,26885.6,28664.6,30107.3,29644.5,29572.2,28133.4,26503.2,28284.5,29156.8,29992.7,30788.5,31784.8,33101.5,34039.2,35480.3,37057.0,38557.9
 "25000","Massachusetts",1,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",6247.8,6810.6,7353.1,7850.7,8381.0,8851.9,9294.4,9381.7,9271.6,8548.8,8436.5,7417.9,7299.6,7824.4,8123.0,8441.8,8943.4,9469.0,10275.3,10347.0,10790.2,11206.8,11082.5
 "25000","Massachusetts",1,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",3868.1,4223.7,4792.5,5369.4,5660.9,5879.7,6015.6,6788.4,7127.6,7092.7,6915.4,6532.7,5769.2,5921.6,6045.6,6193.3,6396.0,6636.8,6951.0,7324.8,7528.7,7763.5,8094.1
 "25000","Massachusetts",1,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",5806.8,6127.0,6684.1,7781.0,7596.2,7626.3,7678.0,8226.1,9183.0,9392.4,9311.6,9196.0,8528.6,9301.9,9585.6,9741.6,9793.3,9889.7,9832.2,10167.4,10768.5,11571.1,12724.9
 "25000","Massachusetts",1,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",2929.9,3104.5,3420.2,3638.2,3581.2,3573.9,3897.5,4268.4,4525.0,4610.5,4908.7,4986.8,4905.8,5236.7,5402.6,5615.9,5655.7,5789.3,6042.9,6200.0,6392.9,6515.5,6656.4
 "25000","Massachusetts",1,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",34163.0,35093.4,37879.4,40800.1,41931.4,42365.4,44206.2,47647.6,50318.8,51689.7,53238.8,55384.5,53330.7,55591.0,58523.4,59790.5,60947.8,63045.4,62894.9,63772.9,67176.9,69384.9,71922.6
 "25000","Massachusetts",1,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",12139.8,12435.2,13469.9,14043.8,14757.8,15130.3,15311.8,16398.7,17013.4,17686.2,18398.1,19107.0,19189.8,19520.4,20551.3,21319.7,21673.4,22537.7,23050.6,23542.7,24716.6,25237.3,25925.2
 "25000","Massachusetts",1,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",7320.0,7581.7,7941.4,8272.8,8244.2,7937.6,8253.8,8634.5,8828.4,8390.7,8440.1,8489.8,8199.8,8393.7,8435.2,8695.5,8740.1,8907.8,9097.9,9222.8,9115.8,9343.6,9525.5
