GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "38000","North Dakota",4,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",12084.8,12609.1,13180.9,13953.9,14779.7,15607.7,16397.5,17540.8,18622.8,19765.6,20845.5,22027.6,22447.6,24090.0,26575.0,29678.4,31677.4,33558.1,33871.2,33341.7,33919.4,35492.7,36504.1
 "38000","North Dakota",4,SAEXP1,2,"..."," Goods","Millions of current dollars",4988.6,5077.8,5328.6,5701.0,5963.3,6220.1,6599.3,7088.3,7538.8,8142.3,8625.8,8976.1,8761.0,9580.9,10780.9,12098.0,12826.7,13300.6,12727.9,11910.2,11686.0,12108.6,12159.9
 "38000","North Dakota",4,SAEXP1,3,"...","  Durable goods","Millions of current dollars",1930.7,1979.9,2057.9,2162.8,2299.6,2450.8,2556.1,2707.9,2787.1,2939.7,3124.8,2990.2,3067.2,3353.1,3720.2,4262.2,4486.1,4693.8,4813.7,4627.7,4571.8,4737.0,4811.1
 "38000","North Dakota",4,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",859.9,825.7,860.2,883.3,963.5,990.7,995.7,1013.6,1002.0,971.3,1037.6,1013.9,1079.4,1248.7,1402.7,1597.6,1698.9,1774.4,1795.1,1691.9,1693.9,1755.3,1752.9
 "38000","North Dakota",4,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",397.6,422.1,430.6,450.8,466.6,495.8,521.4,564.3,610.6,639.7,668.7,646.9,644.5,685.5,758.0,892.5,939.6,991.5,1026.6,994.6,956.1,978.3,997.9
 "38000","North Dakota",4,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",453.2,497.5,522.4,570.1,611.9,690.2,741.6,812.5,835.0,935.1,986.8,889.7,888.9,928.0,1018.2,1161.9,1216.1,1242.4,1260.6,1247.1,1254.5,1328.8,1390.5
 "38000","North Dakota",4,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",220.1,234.6,244.7,258.7,257.7,274.1,297.4,317.5,339.5,393.7,431.6,439.7,454.4,490.9,541.4,610.2,631.5,685.5,731.3,694.0,667.3,674.6,669.8
 "38000","North Dakota",4,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",3057.9,3098.0,3270.8,3538.2,3663.7,3769.4,4043.3,4380.4,4751.7,5202.5,5501.0,5985.9,5693.8,6227.9,7060.7,7835.8,8340.5,8606.8,7914.2,7282.5,7114.2,7371.6,7348.7
 "38000","North Dakota",4,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",1092.9,1097.5,1149.6,1179.5,1219.6,1265.2,1323.5,1403.6,1445.1,1513.2,1558.3,1634.8,1695.7,1731.5,1847.2,2032.7,2182.9,2297.2,2346.9,2323.0,2240.7,2270.6,2273.4
 "38000","North Dakota",4,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",546.3,559.7,552.1,556.0,553.7,560.0,570.5,580.8,605.1,659.0,679.1,712.6,692.0,749.7,816.7,925.1,958.0,1023.1,1035.0,1011.0,941.3,946.3,944.9
 "38000","North Dakota",4,SAEXP1,11,"...","   Gasoline and other energy goods","Millions of current dollars",555.9,507.6,547.2,706.7,708.2,676.9,811.5,974.0,1203.0,1360.2,1486.6,1798.0,1392.6,1706.4,2268.2,2593.6,2806.4,2753.2,1961.1,1429.9,1447.2,1608.6,1513.1
 "38000","North Dakota",4,SAEXP1,12,"...","   Other nondurable goods","Millions of current dollars",862.8,933.1,1021.8,1096.0,1182.2,1267.2,1337.8,1422.0,1498.6,1670.1,1776.9,1840.5,1913.7,2040.3,2128.5,2284.3,2393.2,2533.3,2571.2,2518.7,2485.1,2546.0,2617.4
 "38000","North Dakota",4,SAEXP1,13,"..."," Services","Millions of current dollars",7096.2,7531.3,7852.2,8252.9,8816.4,9387.6,9798.1,10452.5,11084.0,11623.3,12219.7,13051.5,13686.6,14509.0,15794.1,17580.4,18850.8,20257.5,21143.3,21431.5,22233.3,23384.2,24344.2
 "38000","North Dakota",4,SAEXP1,14,"...","  Household consumption expenditures (for services)","Millions of current dollars",6753.2,7132.2,7401.2,7757.9,8251.5,8773.6,9169.1,9812.4,10464.0,10973.3,11618.7,12354.7,12908.3,13676.2,14895.1,16572.0,17789.1,19147.5,19950.9,20142.6,20862.6,21947.6,22849.0
 "38000","North Dakota",4,SAEXP1,15,"...","   Housing and utilities","Millions of current dollars",1623.8,1694.1,1781.0,1889.4,2013.3,2056.1,2140.7,2264.0,2425.2,2551.8,2688.0,2796.3,2819.8,2920.3,3126.2,3476.3,3711.6,3876.3,4228.6,4595.7,4891.9,5214.7,5512.3
 "38000","North Dakota",4,SAEXP1,16,"...","   Health care","Millions of current dollars",1926.8,2046.9,2093.9,2175.4,2402.2,2650.9,2702.6,2900.9,3089.2,3247.3,3454.5,3734.2,4042.8,4222.5,4532.8,4793.8,5113.1,5487.5,5890.2,6182.9,6429.2,6611.1,6823.4
 "38000","North Dakota",4,SAEXP1,17,"...","   Transportation services","Millions of current dollars",369.4,377.8,393.5,407.5,416.7,409.0,418.6,443.1,472.2,488.0,521.8,566.0,580.0,637.4,755.4,908.8,1020.3,1173.9,1084.6,892.6,896.6,950.2,976.4
 "38000","North Dakota",4,SAEXP1,18,"...","   Recreation services","Millions of current dollars",498.1,508.2,487.1,510.8,558.7,618.5,633.7,663.8,684.4,693.2,714.5,766.4,821.5,882.2,943.5,1117.8,1243.8,1373.4,1354.7,1250.6,1253.0,1371.4,1440.7
 "38000","North Dakota",4,SAEXP1,19,"...","   Food services and accommodations","Millions of current dollars",724.9,743.1,771.7,801.1,812.9,859.8,915.6,975.2,1051.1,1124.9,1223.8,1310.2,1380.7,1471.1,1653.4,1949.0,2159.6,2312.8,2307.9,2176.1,2137.7,2193.6,2229.5
 "38000","North Dakota",4,SAEXP1,20,"...","   Financial services and insurance","Millions of current dollars",689.8,772.6,851.0,966.2,973.5,1070.2,1174.4,1343.7,1458.5,1529.3,1611.7,1720.9,1724.4,1891.6,2104.2,2337.9,2498.0,2723.5,2896.6,2928.4,3052.4,3245.5,3384.0
 "38000","North Dakota",4,SAEXP1,21,"...","   Other services","Millions of current dollars",920.3,989.5,1023.0,1007.5,1074.1,1109.2,1183.6,1221.6,1283.4,1338.8,1404.5,1460.7,1539.1,1651.1,1779.4,1988.4,2042.7,2200.1,2188.3,2116.3,2201.7,2361.0,2482.7
 "38000","North Dakota",4,SAEXP1,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Millions of current dollars",343.0,399.0,451.0,495.0,565.0,614.0,629.0,640.0,620.0,650.0,601.0,696.8,778.4,832.8,899.0,1008.3,1061.6,1110.0,1192.4,1288.9,1370.8,1436.5,1495.3
 "38000","North Dakota",4,SAEXP1,23,"...","   Gross output of nonprofit institutions","Millions of current dollars",1129.0,1198.0,1307.0,1402.0,1532.0,1661.0,1674.0,1735.0,1751.0,1788.0,1775.0,1935.9,2123.7,2292.1,2447.8,2640.9,2756.2,2893.3,3143.3,3345.5,3514.0,3654.2,3953.3
 "38000","North Dakota",4,SAEXP1,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Millions of current dollars",786.0,799.0,856.0,907.0,967.0,1047.0,1045.0,1095.0,1131.0,1138.0,1174.0,1239.1,1345.3,1459.3,1548.8,1632.6,1694.6,1783.3,1950.8,2056.6,2143.2,2217.7,2458.0
"Note: See the included footnote file."
"SAEXP1: Total personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2013-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
