GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "34000","New Jersey",2,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",199762.7,212008.0,224683.1,242214.4,256539.0,271278.3,287248.1,303168.1,321026.9,339101.2,351491.4,359170.3,354684.7,363204.1,374728.6,385252.9,395235.2,408237.4,420482.9,432144.6,445135.0,464135.9,481553.8
 "34000","New Jersey",2,SAEXP1,2,"..."," Goods","Millions of current dollars",67645.6,70354.8,76055.9,81652.9,86490.4,91467.9,96752.0,100843.0,106160.8,110857.9,113296.1,111612.1,105639.8,109370.7,114126.4,116333.4,118580.5,121497.9,122885.4,123829.0,127155.2,131622.5,136878.4
 "34000","New Jersey",2,SAEXP1,3,"...","  Durable goods","Millions of current dollars",23525.8,25572.0,28239.8,30470.9,32365.1,35329.6,37416.6,38453.7,39514.3,41019.4,40736.8,37883.2,35027.0,36255.7,37185.3,37919.5,39016.0,39756.7,40916.2,41458.1,42311.2,43935.5,45354.5
 "34000","New Jersey",2,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",8390.4,9002.1,9773.1,10380.9,11213.8,12114.0,12341.2,12560.6,12169.2,11573.3,11795.3,10306.7,9760.9,10862.0,11662.9,12428.9,13043.3,13387.0,13940.8,13972.7,14138.1,14651.6,14667.9
 "34000","New Jersey",2,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",5441.1,5934.6,6721.1,7397.7,7794.1,8151.7,9317.1,9202.7,9865.5,10870.2,10007.6,9395.3,8401.7,8480.5,8476.8,8492.8,8794.4,8985.5,9385.5,9910.5,10456.5,11000.9,11519.2
 "34000","New Jersey",2,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",5716.7,6337.5,6930.7,7392.4,7883.5,8939.6,9348.7,9982.5,10597.4,11350.0,11473.8,10923.6,9941.2,9857.3,9772.8,9661.2,9850.5,9892.0,9902.1,9960.5,10051.7,10326.1,10839.2
 "34000","New Jersey",2,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",3977.7,4297.9,4814.8,5299.8,5473.7,6124.3,6409.6,6707.9,6882.2,7225.9,7460.0,7257.6,6923.2,7055.9,7272.7,7336.6,7327.9,7492.2,7687.7,7614.4,7664.9,7956.9,8328.2
 "34000","New Jersey",2,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",44119.9,44782.8,47816.1,51182.1,54125.3,56138.3,59335.4,62389.4,66646.5,69838.5,72559.3,73729.0,70612.9,73115.0,76941.1,78413.9,79564.5,81741.2,81969.3,82370.9,84844.0,87687.1,91523.9
 "34000","New Jersey",2,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",15542.9,15538.0,16287.8,17040.6,18767.9,19930.6,20840.2,21956.2,22840.1,23586.7,24616.0,25374.9,25107.9,25656.6,26380.0,26660.4,27042.2,27505.1,27954.1,28094.3,28877.5,29514.1,30575.6
 "34000","New Jersey",2,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",10317.7,10422.6,10991.1,11453.1,11153.7,11356.2,11499.1,11684.7,12068.4,12352.2,12647.3,12205.0,11612.0,11972.5,12314.2,12901.9,13027.0,13267.1,13509.3,13619.8,13613.7,13870.5,14152.0
