GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "54000","West Virginia",5,SAEXP1,1,"...","Personal consumption expenditures","Millions of current dollars",28766.8,30116.4,31854.3,33653.1,35070.1,36788.2,38375.5,40690.3,42813.0,44970.6,46907.3,48871.4,49792.7,51738.2,54299.7,56038.7,56765.7,58147.0,59397.2,61001.4,62735.2,65046.7,66803.2
 "54000","West Virginia",5,SAEXP1,2,"..."," Goods","Millions of current dollars",11786.3,12147.9,12858.2,13511.7,13728.4,14248.9,14750.2,15719.3,16331.7,17175.4,17850.9,18441.7,18161.0,19126.5,20263.8,20585.8,20850.2,21102.6,21046.0,21182.9,21394.1,21943.3,22059.3
 "54000","West Virginia",5,SAEXP1,3,"...","  Durable goods","Millions of current dollars",3857.6,4095.5,4348.8,4521.8,4604.7,4883.3,4964.9,5273.2,5252.4,5239.2,5358.9,5196.4,5116.2,5400.6,5588.6,5820.5,5964.0,5983.8,6093.3,6152.8,6172.3,6361.5,6479.8
 "54000","West Virginia",5,SAEXP1,4,"...","   Motor vehicles and parts","Millions of current dollars",1829.5,1940.5,2058.6,2071.2,2194.1,2299.1,2300.0,2330.4,2227.8,2123.6,2173.9,1974.7,1943.9,2182.6,2300.1,2493.7,2522.8,2522.8,2578.0,2574.2,2562.9,2641.4,2649.6
 "54000","West Virginia",5,SAEXP1,5,"...","   Furnishings and durable household equipment","Millions of current dollars",830.5,854.1,907.2,961.2,938.9,1021.5,1046.2,1122.2,1144.1,1155.6,1154.9,1145.0,1104.3,1116.9,1129.4,1139.5,1165.7,1196.0,1227.9,1268.9,1293.6,1340.2,1360.2
 "54000","West Virginia",5,SAEXP1,6,"...","   Recreational goods and vehicles","Millions of current dollars",771.0,832.5,880.7,950.3,955.9,1019.6,1054.8,1216.6,1248.0,1280.5,1301.6,1336.4,1317.5,1325.2,1338.8,1360.2,1428.7,1412.2,1407.2,1435.0,1462.6,1512.5,1594.9
 "54000","West Virginia",5,SAEXP1,7,"...","   Other durable goods","Millions of current dollars",426.6,468.4,502.4,539.2,515.8,543.0,563.8,604.0,632.4,679.5,728.6,740.3,750.5,775.9,820.3,827.1,846.8,852.9,880.2,874.6,853.2,867.4,875.1
 "54000","West Virginia",5,SAEXP1,8,"...","  Nondurable goods","Millions of current dollars",7928.7,8052.5,8509.4,8989.9,9123.8,9365.7,9785.3,10446.1,11079.3,11936.1,12492.0,13245.2,13044.8,13725.9,14675.2,14765.3,14886.2,15118.8,14952.6,15030.1,15221.9,15581.9,15579.5
 "54000","West Virginia",5,SAEXP1,9,"...","   Food and beverages purchased for off-premises consumption","Millions of current dollars",3086.6,3110.4,3194.8,3268.2,3280.0,3323.5,3402.0,3581.8,3740.5,3938.1,4129.0,4414.8,4571.9,4679.0,4841.6,4875.5,4937.5,4988.6,5021.6,5138.5,5210.1,5245.7,5201.4
 "54000","West Virginia",5,SAEXP1,10,"...","   Clothing and footwear","Millions of current dollars",1096.7,1156.2,1189.6,1227.8,1194.8,1196.3,1189.4,1210.6,1273.4,1313.7,1332.2,1356.4,1350.8,1383.3,1413.6,1443.0,1461.7,1471.5,1477.7,1460.7,1446.9,1470.8,1476.1
