GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "08000","Colorado",7,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",22266,23506,25122,27042,27847,28191,29164,30575,32036,33310,34575,34958,33875,34236,35183,35894,36709,38246,39604,41117,42844,44582,46362
 "08000","Colorado",7,SAEXP2,2,"..."," Goods","Dollars",7900,8274,8995,9608,9745,9632,9846,10340,10848,11159,11556,11390,10502,10592,10992,11258,11519,11980,12206,12541,13219,13715,14222
 "08000","Colorado",7,SAEXP2,3,"...","  Durable goods","Dollars",3010,3283,3587,3883,3907,3926,3908,4104,4224,4278,4378,4016,3582,3575,3606,3700,3881,4075,4270,4414,4678,4900,5084
 "08000","Colorado",7,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1058,1149,1274,1353,1427,1448,1400,1412,1374,1305,1365,1155,1033,1049,1050,1116,1183,1263,1357,1366,1439,1497,1476
 "08000","Colorado",7,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",749,805,870,945,969,969,952,1024,1086,1108,1114,1043,897,885,900,919,965,1028,1100,1160,1193,1260,1311
 "08000","Colorado",7,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",816,917,998,1100,1053,1041,1065,1144,1212,1267,1281,1218,1082,1060,1059,1065,1123,1153,1156,1222,1360,1442,1563
 "08000","Colorado",7,SAEXP2,7,"...","   Other durable goods","Dollars",388,413,446,485,457,468,492,524,553,597,618,600,570,581,597,600,609,630,658,667,685,702,734
 "08000","Colorado",7,SAEXP2,8,"...","  Nondurable goods","Dollars",4890,4991,5408,5725,5838,5706,5937,6236,6624,6882,7178,7375,6919,7017,7386,7558,7637,7905,7936,8126,8541,8814,9138
 "08000","Colorado",7,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1806,1853,2001,2060,2159,2126,2218,2321,2452,2475,2596,2702,2710,2693,2779,2881,2929,3081,3190,3296,3419,3477,3572
 "08000","Colorado",7,SAEXP2,10,"...","   Clothing and footwear","Dollars",926,962,1011,1031,1025,1001,1016,1037,1072,1101,1099,1067,1000,1013,1059,1071,1085,1106,1130,1154,1143,1203,1264
 "08000","Colorado",7,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",588,513,563,705,688,615,692,791,921,1004,1082,1225,868,981,1176,1180,1173,1131,877,790,910,1038,991
 "08000","Colorado",7,SAEXP2,12,"...","   Other nondurable goods","Dollars",1569,1663,1833,1929,1965,1965,2012,2088,2178,2302,2401,2381,2342,2330,2373,2425,2450,2587,2740,2887,3069,3096,3311
 "08000","Colorado",7,SAEXP2,13,"..."," Services","Dollars",14366,15231,16127,17434,18102,18559,19318,20235,21188,22150,23019,23568,23373,23645,24191,24636,25190,26266,27397,28576,29625,30867,32140
 "08000","Colorado",7,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",14138,14961,15786,17021,17627,18054,18784,19692,20645,21525,22417,22867,22687,22932,23417,23777,24311,25344,26513,27659,28687,29870,31165
 "08000","Colorado",7,SAEXP2,15,"...","   Housing and utilities","Dollars",4712,4899,5069,5292,5619,5721,5933,6237,6635,6856,6946,7071,7073,6970,7043,7088,7183,7419,7757,8079,8463,8887,9386
 "08000","Colorado",7,SAEXP2,16,"...","   Health care","Dollars",2568,2687,2782,2998,3293,3600,3788,4052,4171,4301,4603,4780,4988,5067,5156,5237,5339,5654,5994,6464,6595,6705,6920
 "08000","Colorado",7,SAEXP2,17,"...","   Transportation services","Dollars",1129,1147,1179,1256,1194,1108,1106,1161,1196,1245,1294,1324,1223,1261,1335,1405,1458,1527,1587,1653,1727,1848,1919
 "08000","Colorado",7,SAEXP2,18,"...","   Recreation services","Dollars",931,1040,1148,1271,1267,1252,1316,1345,1407,1532,1642,1671,1693,1750,1735,1811,1887,1974,2046,2116,2154,2243,2331
 "08000","Colorado",7,SAEXP2,19,"...","   Food services and accommodations","Dollars",1674,1707,1774,1911,1946,1971,2017,2128,2221,2317,2443,2511,2411,2458,2597,2692,2829,2997,3200,3306,3486,3682,3821
 "08000","Colorado",7,SAEXP2,20,"...","   Financial services and insurance","Dollars",1466,1602,1753,1974,1875,1899,1982,2106,2232,2285,2376,2387,2185,2258,2366,2359,2431,2473,2534,2532,2662,2750,2819
 "08000","Colorado",7,SAEXP2,21,"...","   Other services","Dollars",1658,1880,2081,2319,2434,2503,2643,2664,2783,2989,3112,3123,3113,3168,3185,3185,3183,3300,3395,3510,3599,3755,3969
 "08000","Colorado",7,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",228,270,341,413,475,505,534,543,543,626,603,701,687,713,774,859,879,923,885,917,939,997,974
 "08000","Colorado",7,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1686,1830,1973,2130,2287,2446,2562,2711,2852,3009,3077,3227,3310,3418,3546,3705,3753,3902,4060,4302,4358,4482,4591
 "08000","Colorado",7,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1458,1560,1632,1717,1813,1941,2028,2169,2309,2383,2474,2526,2623,2705,2772,2845,2874,2980,3175,3385,3419,3485,3617
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
