GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "10000","Delaware",2,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",21592,22722,24142,25260,26368,27408,28644,30268,31971,33211,34537,35199,34486,35574,36855,37548,38424,39712,40871,41744,43035,44733,45827
 "10000","Delaware",2,SAEXP2,2,"..."," Goods","Dollars",8037,8382,9225,9568,9819,10286,10753,11344,11757,12035,12250,12009,11219,11597,12130,12271,12698,13016,13107,13194,13426,13905,14033
 "10000","Delaware",2,SAEXP2,3,"...","  Durable goods","Dollars",3296,3539,3889,3994,4094,4376,4579,4816,4916,4850,4892,4423,4085,4214,4382,4484,4551,4675,4809,4890,4930,5071,5115
 "10000","Delaware",2,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1407,1523,1678,1705,1761,1877,1893,1895,1817,1684,1684,1411,1375,1493,1587,1663,1720,1817,1907,1948,1985,2049,2025
 "10000","Delaware",2,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",505,543,597,636,656,713,741,816,848,825,789,707,621,629,631,646,663,681,722,761,775,830,855
 "10000","Delaware",2,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",929,983,1075,1086,1121,1210,1337,1456,1577,1627,1667,1576,1390,1373,1391,1387,1380,1380,1374,1366,1351,1356,1394
 "10000","Delaware",2,SAEXP2,7,"...","   Other durable goods","Dollars",455,489,539,566,556,576,607,649,674,715,752,728,698,720,774,788,787,796,806,816,819,836,841
 "10000","Delaware",2,SAEXP2,8,"...","  Nondurable goods","Dollars",4741,4843,5336,5574,5725,5910,6174,6528,6841,7185,7359,7586,7134,7383,7748,7787,8147,8342,8298,8303,8496,8834,8918
 "10000","Delaware",2,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",2094,2127,2332,2368,2474,2560,2650,2755,2852,2976,3063,3128,3102,3131,3152,3161,3235,3309,3332,3298,3344,3457,3468
 "10000","Delaware",2,SAEXP2,10,"...","   Clothing and footwear","Dollars",957,997,1074,1090,1106,1117,1118,1137,1141,1112,1093,1051,997,1036,1109,1148,1145,1153,1152,1144,1142,1158,1153
 "10000","Delaware",2,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",496,425,476,587,550,529,640,766,935,1053,1143,1312,945,1076,1301,1281,1300,1263,1024,946,1074,1221,1170
 "10000","Delaware",2,SAEXP2,12,"...","   Other nondurable goods","Dollars",1195,1293,1454,1530,1595,1704,1766,1870,1913,2043,2060,2094,2091,2140,2185,2197,2467,2616,2790,2915,2936,2997,3128
 "10000","Delaware",2,SAEXP2,13,"..."," Services","Dollars",13554,14341,14917,15692,16549,17122,17891,18924,20214,21177,22287,23190,23267,23977,24725,25277,25726,26695,27764,28550,29609,30828,31794
 "10000","Delaware",2,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",13119,13797,14357,15083,15836,16359,17106,18099,19348,20241,21220,22034,22128,22855,23564,24068,24467,25416,26515,27267,28286,29474,30442
 "10000","Delaware",2,SAEXP2,15,"...","   Housing and utilities","Dollars",3926,4088,4280,4442,4705,4874,5007,5222,5536,5853,6100,6258,6329,6386,6529,6678,6802,7065,7397,7618,7828,8096,8335
 "10000","Delaware",2,SAEXP2,16,"...","   Health care","Dollars",3048,3183,3316,3467,3798,4135,4501,4865,5236,5406,5747,6122,6335,6696,6961,7099,7223,7578,7956,8200,8451,8712,9071
 "10000","Delaware",2,SAEXP2,17,"...","   Transportation services","Dollars",731,775,814,882,895,820,837,843,861,855,886,899,833,856,890,900,921,937,934,947,977,1011,1048
 "10000","Delaware",2,SAEXP2,18,"...","   Recreation services","Dollars",805,820,880,931,962,949,941,975,1045,1082,1113,1141,1147,1155,1165,1173,1190,1210,1240,1249,1283,1346,1381
 "10000","Delaware",2,SAEXP2,19,"...","   Food services and accommodations","Dollars",1443,1478,1543,1622,1639,1693,1766,1920,2016,2132,2214,2280,2249,2369,2408,2454,2478,2547,2698,2756,2750,2878,2994
 "10000","Delaware",2,SAEXP2,20,"...","   Financial services and insurance","Dollars",1268,1371,1449,1600,1544,1551,1597,1741,1889,1969,2048,2116,1991,2146,2312,2394,2480,2656,2810,2959,3315,3567,3600
 "10000","Delaware",2,SAEXP2,21,"...","   Other services","Dollars",1898,2083,2075,2140,2293,2337,2458,2533,2764,2944,3114,3218,3242,3247,3299,3370,3372,3423,3481,3539,3683,3864,4013
 "10000","Delaware",2,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",435,544,560,609,713,763,785,825,866,936,1067,1157,1139,1122,1160,1209,1259,1279,1249,1283,1323,1354,1352
 "10000","Delaware",2,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2160,2333,2361,2456,2710,2921,3042,3237,3409,3636,3813,3958,4061,4126,4241,4375,4500,4733,4742,4764,4757,4948,5141
 "10000","Delaware",2,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1725,1790,1801,1846,1997,2158,2257,2412,2543,2700,2746,2802,2922,3004,3081,3166,3241,3454,3493,3480,3434,3594,3790
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
