GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "98000","Far West",8,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",21162,22183,23468,25099,25827,26586,27676,29289,30994,32672,34148,34543,33278,34236,35554,36669,37406,38902,40608,42178,44168,46319,48426
 "98000","Far West",8,SAEXP2,2,"..."," Goods","Dollars",7073,7389,7966,8600,8745,8973,9329,9919,10491,10976,11327,11016,10047,10364,10914,11260,11447,11830,12020,12214,12770,13415,13932
 "98000","Far West",8,SAEXP2,3,"...","  Durable goods","Dollars",2562,2815,3114,3408,3471,3589,3690,3923,4126,4233,4283,3828,3376,3453,3574,3735,3838,3991,4206,4311,4543,4802,4998
 "98000","Far West",8,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",912,1021,1137,1187,1242,1315,1311,1347,1370,1307,1275,1042,903,938,997,1094,1157,1213,1314,1353,1415,1439,1405
 "98000","Far West",8,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",566,615,683,749,780,808,841,902,965,1006,991,887,779,785,792,799,819,862,921,941,992,1059,1097
 "98000","Far West",8,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",781,853,942,1096,1089,1087,1134,1225,1301,1399,1458,1359,1200,1215,1229,1259,1275,1305,1339,1384,1486,1624,1795
 "98000","Far West",8,SAEXP2,7,"...","   Other durable goods","Dollars",303,325,351,375,361,378,404,450,490,520,559,540,494,516,556,583,588,611,632,632,650,680,701
 "98000","Far West",8,SAEXP2,8,"...","  Nondurable goods","Dollars",4511,4574,4853,5192,5274,5384,5640,5996,6365,6743,7044,7188,6671,6911,7340,7525,7609,7839,7814,7903,8226,8613,8933
 "98000","Far West",8,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1769,1784,1874,1960,2039,2090,2172,2260,2374,2493,2634,2694,2614,2635,2731,2793,2842,2949,3003,3044,3111,3199,3300
 "98000","Far West",8,SAEXP2,10,"...","   Clothing and footwear","Dollars",907,940,972,1005,968,984,994,1078,1138,1129,1143,1096,990,1038,1107,1161,1167,1208,1234,1254,1292,1354,1408
 "98000","Far West",8,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",485,426,458,566,531,507,580,695,810,910,958,1080,765,881,1083,1098,1069,1021,783,715,829,938,910
 "98000","Far West",8,SAEXP2,12,"...","   Other nondurable goods","Dollars",1350,1424,1549,1661,1735,1803,1894,1963,2043,2212,2310,2318,2301,2356,2419,2473,2531,2661,2794,2891,2995,3122,3315
 "98000","Far West",8,SAEXP2,13,"..."," Services","Dollars",14089,14794,15501,16499,17082,17613,18347,19370,20503,21697,22821,23527,23232,23872,24640,25410,25959,27072,28587,29964,31398,32904,34494
 "98000","Far West",8,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",13743,14423,15077,16001,16506,16943,17686,18747,19877,20964,21975,22582,22295,22914,23620,24273,24771,25848,27289,28551,29915,31360,32934
 "98000","Far West",8,SAEXP2,15,"...","   Housing and utilities","Dollars",4495,4697,4884,5128,5445,5589,5743,5994,6369,6768,7048,7322,7504,7574,7751,7885,8038,8318,8721,9071,9412,9730,10150
 "98000","Far West",8,SAEXP2,16,"...","   Health care","Dollars",2805,2906,2967,3077,3239,3471,3692,3931,4181,4383,4684,4942,5090,5415,5588,5732,5833,6063,6503,6832,7181,7515,7901
 "98000","Far West",8,SAEXP2,17,"...","   Transportation services","Dollars",878,918,966,1051,1027,985,1006,1052,1117,1184,1244,1238,1139,1153,1228,1287,1352,1414,1457,1551,1646,1763,1861
 "98000","Far West",8,SAEXP2,18,"...","   Recreation services","Dollars",756,774,861,918,932,944,1023,1134,1187,1250,1316,1334,1276,1328,1336,1409,1435,1490,1569,1650,1719,1794,1870
 "98000","Far West",8,SAEXP2,19,"...","   Food services and accommodations","Dollars",1333,1406,1451,1545,1568,1611,1699,1829,1959,2104,2210,2255,2144,2184,2276,2380,2430,2601,2821,3002,3155,3343,3525
 "98000","Far West",8,SAEXP2,20,"...","   Financial services and insurance","Dollars",1853,1993,2085,2252,2145,2142,2209,2342,2502,2583,2680,2649,2420,2520,2625,2673,2788,2933,3083,3168,3355,3564,3725
 "98000","Far West",8,SAEXP2,21,"...","   Other services","Dollars",1622,1730,1864,2029,2151,2202,2315,2465,2563,2692,2794,2842,2722,2739,2815,2906,2895,3029,3136,3278,3447,3650,3902
 "98000","Far West",8,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",346,372,424,498,576,670,660,623,625,733,846,945,937,958,1020,1137,1188,1224,1299,1413,1483,1544,1560
 "98000","Far West",8,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1758,1824,1935,2095,2282,2511,2582,2647,2786,2975,3275,3496,3617,3754,3951,4249,4359,4492,4759,5035,5244,5499,5748
 "98000","Far West",8,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1413,1453,1511,1597,1707,1841,1922,2024,2161,2242,2429,2550,2680,2796,2931,3112,3171,3268,3460,3622,3760,3955,4188
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
