GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "13000","Georgia",5,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",18899,19645,20777,22072,22699,23318,24284,25365,26731,27765,28693,28796,27864,28488,29577,30264,31031,32298,33273,34316,35705,37101,38076
 "13000","Georgia",5,SAEXP2,2,"..."," Goods","Dollars",7589,7815,8447,8794,8909,9000,9301,9715,10222,10594,10804,10453,9723,10082,10600,10860,11100,11506,11643,11661,12235,12785,13055
 "13000","Georgia",5,SAEXP2,3,"...","  Durable goods","Dollars",2831,3008,3283,3338,3404,3458,3553,3654,3713,3779,3827,3344,2988,3105,3183,3317,3430,3571,3801,3933,4108,4324,4446
 "13000","Georgia",5,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1249,1351,1459,1459,1526,1559,1521,1510,1505,1444,1440,1150,1019,1103,1157,1240,1315,1378,1495,1553,1590,1657,1663
 "13000","Georgia",5,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",721,755,817,844,856,855,888,932,954,987,969,858,758,760,756,769,787,817,874,923,973,1040,1089
 "13000","Georgia",5,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",539,564,641,663,660,667,742,780,805,855,899,834,734,749,750,781,785,810,850,882,961,1026,1094
 "13000","Georgia",5,SAEXP2,7,"...","   Other durable goods","Dollars",322,339,367,372,362,377,402,432,450,493,519,501,477,493,520,527,543,565,583,575,583,601,601
 "13000","Georgia",5,SAEXP2,8,"...","  Nondurable goods","Dollars",4758,4807,5164,5457,5505,5542,5748,6061,6508,6814,6977,7109,6735,6977,7417,7543,7669,7935,7842,7728,8127,8461,8609
 "13000","Georgia",5,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1725,1764,1844,1924,1961,1973,2017,2104,2198,2255,2329,2382,2413,2448,2560,2644,2695,2825,2872,2877,3003,3069,3128
 "13000","Georgia",5,SAEXP2,10,"...","   Clothing and footwear","Dollars",955,971,1029,1006,996,1002,989,1004,1049,1075,1058,1011,958,977,998,1010,1039,1076,1101,1109,1105,1140,1148
 "13000","Georgia",5,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",596,532,590,730,696,636,720,843,1083,1187,1231,1362,985,1134,1387,1379,1364,1320,1009,872,988,1096,1038
 "13000","Georgia",5,SAEXP2,12,"...","   Other nondurable goods","Dollars",1482,1540,1701,1798,1852,1931,2022,2110,2179,2298,2358,2354,2379,2417,2472,2510,2571,2714,2860,2870,3031,3156,3295
 "13000","Georgia",5,SAEXP2,13,"..."," Services","Dollars",11310,11831,12330,13277,13791,14317,14982,15651,16509,17171,17889,18342,18141,18406,18977,19404,19931,20791,21630,22655,23469,24316,25020
 "13000","Georgia",5,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11246,11761,12218,13135,13585,14085,14738,15425,16359,16980,17649,18015,17846,18144,18689,19084,19589,20437,21272,22287,23105,23957,24681
 "13000","Georgia",5,SAEXP2,15,"...","   Housing and utilities","Dollars",3341,3474,3544,3784,3967,4094,4244,4420,4728,4878,4988,5127,5200,5285,5363,5358,5428,5618,5810,6094,6317,6547,6843
 "13000","Georgia",5,SAEXP2,16,"...","   Health care","Dollars",2750,2814,2812,2962,3132,3358,3551,3732,3934,4012,4139,4200,4321,4348,4461,4673,4812,4992,5317,5649,5799,6067,6215
 "13000","Georgia",5,SAEXP2,17,"...","   Transportation services","Dollars",535,566,595,636,595,559,616,611,625,647,674,693,644,657,720,723,761,819,854,876,925,977,1018
 "13000","Georgia",5,SAEXP2,18,"...","   Recreation services","Dollars",570,592,655,697,711,727,741,783,846,891,958,983,971,999,1020,1077,1128,1177,1212,1290,1334,1331,1344
 "13000","Georgia",5,SAEXP2,19,"...","   Food services and accommodations","Dollars",1343,1387,1452,1556,1564,1594,1685,1772,1864,1940,1971,1974,1918,1958,2029,2099,2192,2342,2416,2533,2636,2738,2811
 "13000","Georgia",5,SAEXP2,20,"...","   Financial services and insurance","Dollars",1155,1235,1349,1523,1482,1508,1581,1710,1833,1944,2117,2195,2076,2138,2216,2204,2237,2304,2420,2489,2597,2695,2719
 "13000","Georgia",5,SAEXP2,21,"...","   Other services","Dollars",1551,1692,1811,1977,2135,2245,2321,2396,2530,2667,2803,2843,2716,2758,2880,2949,3031,3184,3243,3356,3497,3602,3731
 "13000","Georgia",5,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",65,70,112,142,206,233,244,226,150,191,240,327,294,262,288,320,342,355,358,369,364,359,339
 "13000","Georgia",5,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1387,1507,1605,1694,1875,2019,2160,2276,2290,2398,2563,2657,2683,2695,2746,2812,2909,2992,3188,3403,3514,3675,3711
 "13000","Georgia",5,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1322,1437,1492,1552,1670,1786,1916,2050,2140,2207,2323,2329,2389,2434,2458,2492,2567,2638,2830,3034,3150,3316,3372
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
