GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "93000","Great Lakes",3,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20159,21157,22330,23736,24544,25318,26342,27630,28963,30128,31230,31891,31364,32272,33502,34350,35042,36320,37494,38698,40204,41807,43006
 "93000","Great Lakes",3,SAEXP2,2,"..."," Goods","Dollars",7365,7622,8144,8599,8695,8872,9124,9526,9811,10101,10409,10349,9796,10206,10807,11078,11279,11598,11749,11970,12506,12974,13288
 "93000","Great Lakes",3,SAEXP2,3,"...","  Durable goods","Dollars",2687,2858,3094,3206,3241,3361,3375,3492,3516,3488,3553,3305,3087,3193,3327,3443,3555,3714,3890,4039,4217,4371,4502
 "93000","Great Lakes",3,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1144,1206,1307,1300,1350,1382,1331,1308,1253,1148,1146,1019,976,1049,1112,1175,1225,1314,1400,1436,1493,1548,1547
 "93000","Great Lakes",3,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",598,633,681,736,735,762,776,816,834,831,823,764,692,702,721,743,762,786,841,892,938,977,1006
 "93000","Great Lakes",3,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",612,663,722,764,764,811,838,911,950,990,1030,980,891,893,913,930,965,994,1008,1062,1129,1172,1261
 "93000","Great Lakes",3,SAEXP2,7,"...","   Other durable goods","Dollars",333,356,384,406,392,406,431,456,479,519,555,542,527,549,582,595,603,620,641,648,656,674,688
 "93000","Great Lakes",3,SAEXP2,8,"...","  Nondurable goods","Dollars",4679,4763,5050,5393,5453,5512,5749,6034,6296,6613,6856,7045,6709,7013,7480,7635,7724,7885,7858,7931,8289,8603,8786
 "93000","Great Lakes",3,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1733,1748,1801,1875,1929,1958,2018,2104,2166,2239,2326,2396,2396,2418,2508,2570,2603,2682,2757,2815,2930,2994,3056
 "93000","Great Lakes",3,SAEXP2,10,"...","   Clothing and footwear","Dollars",869,901,934,953,933,917,927,936,952,964,950,930,894,925,953,979,988,1009,1028,1048,1052,1076,1085
 "93000","Great Lakes",3,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",528,472,529,661,622,584,683,781,925,1039,1141,1264,918,1091,1346,1363,1345,1285,992,879,985,1126,1068
 "93000","Great Lakes",3,SAEXP2,12,"...","   Other nondurable goods","Dollars",1549,1642,1787,1905,1969,2053,2121,2213,2252,2371,2438,2454,2502,2580,2673,2723,2787,2909,3081,3189,3321,3406,3577
 "93000","Great Lakes",3,SAEXP2,13,"..."," Services","Dollars",12793,13535,14186,15137,15850,16445,17218,18104,19152,20027,20821,21542,21568,22066,22695,23272,23763,24721,25745,26728,27698,28833,29718
 "93000","Great Lakes",3,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12171,12798,13404,14269,14898,15429,16166,17051,18060,18827,19627,20184,20191,20656,21211,21674,22131,23046,24060,24928,25838,26878,27768
 "93000","Great Lakes",3,SAEXP2,15,"...","   Housing and utilities","Dollars",3444,3578,3759,3988,4253,4384,4573,4767,5127,5353,5539,5733,5748,5746,5822,5840,5934,6151,6311,6500,6729,6972,7239
 "93000","Great Lakes",3,SAEXP2,16,"...","   Health care","Dollars",2859,2970,3074,3260,3521,3786,4011,4296,4571,4799,5073,5274,5526,5723,5894,6110,6194,6423,6756,7062,7259,7504,7716
 "93000","Great Lakes",3,SAEXP2,17,"...","   Transportation services","Dollars",899,933,995,1058,1038,996,1011,1041,1063,1072,1085,1093,1030,1050,1129,1149,1193,1274,1324,1386,1431,1503,1537
 "93000","Great Lakes",3,SAEXP2,18,"...","   Recreation services","Dollars",870,903,945,982,996,1023,1066,1126,1172,1216,1287,1322,1312,1350,1354,1404,1451,1496,1573,1645,1702,1758,1794
 "93000","Great Lakes",3,SAEXP2,19,"...","   Food services and accommodations","Dollars",1187,1245,1279,1349,1384,1430,1493,1574,1647,1716,1785,1811,1787,1841,1927,2017,2083,2158,2308,2384,2466,2568,2634
 "93000","Great Lakes",3,SAEXP2,20,"...","   Financial services and insurance","Dollars",1292,1415,1551,1730,1670,1709,1797,1952,2110,2189,2279,2305,2146,2256,2368,2425,2537,2707,2876,2960,3162,3346,3495
 "93000","Great Lakes",3,SAEXP2,21,"...","   Other services","Dollars",1620,1754,1800,1901,2036,2101,2216,2294,2371,2483,2579,2644,2641,2689,2717,2728,2739,2838,2913,2989,3088,3227,3353
 "93000","Great Lakes",3,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",622,737,782,868,951,1016,1051,1053,1092,1200,1194,1358,1377,1410,1484,1598,1632,1676,1685,1801,1860,1954,1950
 "93000","Great Lakes",3,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2258,2432,2526,2690,2874,3071,3170,3310,3481,3677,3759,3990,4135,4269,4414,4613,4715,4855,5008,5262,5398,5657,5810
 "93000","Great Lakes",3,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1635,1695,1744,1822,1923,2055,2119,2257,2390,2477,2565,2632,2758,2859,2930,3014,3083,3179,3323,3461,3538,3702,3860
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
