GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "18000","Indiana",3,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",18675,19564,20666,21748,22539,23304,24257,25740,26999,27924,28754,29237,28676,29421,30540,31621,32211,33115,33896,35064,36715,38093,39145
 "18000","Indiana",3,SAEXP2,2,"..."," Goods","Dollars",7370,7599,8148,8520,8651,8820,9143,9653,10021,10311,10499,10480,9815,10235,10774,11083,11256,11510,11584,11853,12461,12852,13038
 "18000","Indiana",3,SAEXP2,3,"...","  Durable goods","Dollars",2615,2785,3006,3077,3104,3221,3282,3430,3475,3428,3430,3170,2941,3066,3165,3285,3350,3487,3681,3815,4022,4171,4251
 "18000","Indiana",3,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1156,1233,1328,1304,1340,1382,1348,1362,1307,1217,1226,1046,989,1063,1106,1161,1202,1290,1408,1430,1500,1581,1575
 "18000","Indiana",3,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",565,596,648,690,690,715,736,774,808,814,795,748,671,696,713,743,756,774,824,873,922,964,989
 "18000","Indiana",3,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",598,643,694,728,731,769,827,902,947,956,946,921,843,848,863,891,900,921,935,990,1069,1090,1146
 "18000","Indiana",3,SAEXP2,7,"...","   Other durable goods","Dollars",296,313,337,354,342,355,372,392,413,441,463,455,439,459,483,491,492,502,514,522,531,537,541
 "18000","Indiana",3,SAEXP2,8,"...","  Nondurable goods","Dollars",4756,4814,5141,5444,5547,5599,5861,6223,6546,6884,7069,7310,6874,7170,7609,7798,7905,8024,7903,8038,8439,8680,8787
 "18000","Indiana",3,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1799,1822,1881,1908,1930,1935,1990,2114,2214,2271,2320,2406,2415,2409,2473,2524,2574,2649,2750,2827,2923,2954,2985
 "18000","Indiana",3,SAEXP2,10,"...","   Clothing and footwear","Dollars",795,814,858,867,863,868,873,880,891,897,882,866,834,862,889,903,898,911,928,965,973,998,1009
 "18000","Indiana",3,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",629,570,636,796,797,742,863,1010,1193,1350,1456,1613,1138,1334,1599,1632,1617,1521,1157,1034,1163,1317,1255
 "18000","Indiana",3,SAEXP2,12,"...","   Other nondurable goods","Dollars",1533,1607,1766,1873,1956,2055,2134,2219,2248,2366,2411,2425,2488,2565,2648,2739,2816,2943,3068,3212,3379,3411,3539
 "18000","Indiana",3,SAEXP2,13,"..."," Services","Dollars",11304,11964,12518,13228,13889,14484,15114,16086,16978,17613,18255,18756,18861,19186,19766,20538,20955,21605,22312,23211,24254,25241,26107
 "18000","Indiana",3,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",10815,11382,11904,12559,13179,13742,14413,15330,16158,16742,17436,17815,17913,18217,18756,19458,19851,20475,21189,22001,22994,23920,24806
 "18000","Indiana",3,SAEXP2,15,"...","   Housing and utilities","Dollars",3058,3183,3337,3504,3766,3874,4017,4183,4492,4675,4823,5002,5030,5021,5120,5166,5281,5451,5594,5713,5913,6114,6325
 "18000","Indiana",3,SAEXP2,16,"...","   Health care","Dollars",2690,2848,2945,3112,3353,3643,3894,4242,4451,4676,4971,5085,5409,5559,5763,6218,6315,6484,6732,7118,7519,7812,8156
 "18000","Indiana",3,SAEXP2,17,"...","   Transportation services","Dollars",689,723,779,817,824,807,814,823,857,862,876,873,811,821,875,902,941,1002,1043,1119,1153,1199,1216
 "18000","Indiana",3,SAEXP2,18,"...","   Recreation services","Dollars",869,883,908,944,946,970,1019,1086,1113,1128,1188,1238,1229,1268,1272,1323,1365,1380,1424,1486,1520,1557,1600
 "18000","Indiana",3,SAEXP2,19,"...","   Food services and accommodations","Dollars",1155,1205,1276,1325,1360,1413,1468,1557,1630,1696,1728,1751,1731,1781,1853,1929,1983,2033,2141,2197,2240,2324,2368
 "18000","Indiana",3,SAEXP2,20,"...","   Financial services and insurance","Dollars",974,1064,1168,1297,1262,1306,1376,1510,1627,1648,1702,1675,1514,1543,1609,1624,1678,1764,1855,1914,2123,2293,2431
 "18000","Indiana",3,SAEXP2,21,"...","   Other services","Dollars",1380,1476,1491,1561,1668,1729,1824,1929,1987,2056,2149,2191,2189,2224,2264,2296,2288,2362,2400,2454,2526,2621,2710
 "18000","Indiana",3,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",490,583,614,669,710,742,701,756,819,871,819,941,948,968,1009,1080,1104,1129,1123,1210,1261,1321,1301
 "18000","Indiana",3,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1893,2029,2094,2199,2311,2434,2375,2588,2792,2878,2875,3048,3157,3270,3375,3527,3598,3645,3746,3982,4187,4359,4502
 "18000","Indiana",3,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1403,1447,1479,1530,1601,1692,1674,1832,1972,2008,2056,2107,2209,2302,2365,2447,2493,2516,2623,2772,2926,3038,3202
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
