GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "21000","Kentucky",5,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",17067,17925,18903,20079,20684,21450,22349,23469,24656,25745,26398,26963,26810,27553,28660,29330,29773,30729,31784,33001,34127,35324,36348
 "21000","Kentucky",5,SAEXP2,2,"..."," Goods","Dollars",6911,7181,7765,8215,8281,8519,8835,9336,9689,10167,10331,10379,10016,10403,10977,11233,11269,11470,11636,11909,12345,12761,12948
 "21000","Kentucky",5,SAEXP2,3,"...","  Durable goods","Dollars",2320,2454,2645,2750,2706,2847,2897,3023,3044,3069,3115,2845,2711,2809,2900,3066,3108,3189,3425,3566,3645,3768,3853
 "21000","Kentucky",5,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1053,1121,1201,1207,1197,1239,1226,1234,1196,1134,1136,988,947,1042,1075,1156,1183,1227,1352,1370,1390,1440,1422
 "21000","Kentucky",5,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",523,551,589,622,604,651,667,706,731,737,740,673,631,635,637,672,679,686,726,776,807,845,880
 "21000","Kentucky",5,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",491,511,561,610,602,643,674,734,753,799,816,773,730,720,747,787,794,808,858,931,963,989,1053
 "21000","Kentucky",5,SAEXP2,7,"...","   Other durable goods","Dollars",253,270,295,311,303,314,329,349,364,399,423,411,402,413,441,451,452,469,488,490,485,494,499
 "21000","Kentucky",5,SAEXP2,8,"...","  Nondurable goods","Dollars",4591,4728,5119,5465,5575,5672,5938,6313,6645,7098,7216,7534,7306,7594,8078,8167,8160,8281,8211,8342,8700,8994,9095
 "21000","Kentucky",5,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1714,1774,1863,1919,1968,1992,2065,2193,2283,2353,2440,2564,2646,2667,2756,2829,2847,2910,3007,3086,3202,3244,3253
 "21000","Kentucky",5,SAEXP2,10,"...","   Clothing and footwear","Dollars",702,731,785,784,775,765,773,774,789,821,813,789,760,768,792,797,788,815,836,867,867,885,891
 "21000","Kentucky",5,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",623,556,604,758,712,675,800,940,1132,1360,1339,1534,1122,1303,1584,1573,1540,1454,1100,971,1082,1218,1145
 "21000","Kentucky",5,SAEXP2,12,"...","   Other nondurable goods","Dollars",1552,1667,1868,2004,2119,2240,2300,2407,2441,2564,2624,2648,2778,2856,2946,2968,2986,3101,3268,3419,3549,3647,3806
 "21000","Kentucky",5,SAEXP2,13,"..."," Services","Dollars",10156,10743,11138,11864,12403,12931,13514,14134,14967,15578,16067,16584,16794,17150,17683,18097,18505,19260,20148,21092,21782,22563,23400
 "21000","Kentucky",5,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",9782,10280,10674,11331,11843,12364,12906,13541,14330,14814,15328,15742,15935,16278,16756,17132,17494,18233,19105,19993,20635,21379,22200
 "21000","Kentucky",5,SAEXP2,15,"...","   Housing and utilities","Dollars",2580,2680,2808,2985,3177,3271,3402,3564,3830,3968,4122,4253,4290,4352,4446,4582,4716,4913,5076,5288,5472,5706,5911
 "21000","Kentucky",5,SAEXP2,16,"...","   Health care","Dollars",2786,2913,3008,3196,3449,3714,3842,4070,4316,4487,4669,4789,5014,5106,5294,5366,5455,5665,6045,6439,6601,6745,6991
 "21000","Kentucky",5,SAEXP2,17,"...","   Transportation services","Dollars",522,558,590,621,586,581,650,639,650,599,610,612,559,553,587,584,589,606,627,667,686,738,792
 "21000","Kentucky",5,SAEXP2,18,"...","   Recreation services","Dollars",707,716,747,772,775,800,851,897,922,959,1012,1064,1082,1105,1092,1135,1157,1187,1242,1291,1323,1354,1384
 "21000","Kentucky",5,SAEXP2,19,"...","   Food services and accommodations","Dollars",1117,1185,1187,1214,1251,1308,1373,1465,1537,1614,1650,1685,1713,1761,1824,1904,1923,2007,2111,2194,2229,2301,2376
 "21000","Kentucky",5,SAEXP2,20,"...","   Financial services and insurance","Dollars",978,1065,1154,1276,1248,1285,1305,1372,1459,1469,1488,1524,1425,1524,1623,1685,1783,1952,2065,2141,2286,2401,2477
 "21000","Kentucky",5,SAEXP2,21,"...","   Other services","Dollars",1093,1164,1181,1267,1357,1405,1482,1534,1616,1718,1777,1816,1854,1877,1889,1876,1872,1903,1939,1973,2038,2136,2269
 "21000","Kentucky",5,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",374,463,464,533,560,568,609,592,637,764,739,842,859,872,927,964,1011,1026,1044,1099,1147,1183,1200
 "21000","Kentucky",5,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1565,1734,1753,1884,1972,2059,2161,2237,2394,2648,2677,2816,2925,3010,3112,3209,3296,3342,3556,3768,3863,3950,4103
 "21000","Kentucky",5,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1192,1271,1289,1351,1412,1491,1553,1645,1757,1884,1938,1974,2067,2138,2185,2245,2286,2316,2512,2668,2716,2766,2903
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
