GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "24000","Maryland",2,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",21740,22787,24102,25819,27040,28055,29364,31030,32873,34633,36097,36743,36202,37105,38079,38921,39589,40884,42063,43325,44841,46253,47529
 "24000","Maryland",2,SAEXP2,2,"..."," Goods","Dollars",7747,8104,8587,9185,9540,9846,10322,10917,11337,11791,12028,11633,10970,11308,11722,12025,12075,12258,12294,12388,12741,13131,13392
 "24000","Maryland",2,SAEXP2,3,"...","  Durable goods","Dollars",2743,2958,3207,3435,3596,3838,3971,4237,4339,4364,4392,3930,3615,3718,3814,3973,3986,4050,4179,4222,4304,4425,4525
 "24000","Maryland",2,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1125,1205,1317,1411,1523,1623,1648,1656,1616,1516,1532,1269,1185,1293,1333,1440,1461,1507,1608,1621,1646,1704,1708
 "24000","Maryland",2,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",629,667,730,773,820,890,928,1034,1091,1118,1090,984,886,882,884,899,905,920,962,988,1017,1032,1052
 "24000","Maryland",2,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",655,721,767,831,841,899,947,1060,1121,1176,1193,1118,1003,992,1020,1043,1035,1024,998,1005,1020,1066,1135
 "24000","Maryland",2,SAEXP2,7,"...","   Other durable goods","Dollars",333,365,393,420,413,426,448,487,512,553,577,558,541,551,578,590,585,599,611,608,620,623,630
 "24000","Maryland",2,SAEXP2,8,"...","  Nondurable goods","Dollars",5004,5146,5380,5749,5944,6009,6351,6680,6998,7427,7636,7704,7355,7590,7908,8052,8089,8208,8115,8166,8437,8706,8867
 "24000","Maryland",2,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1804,1840,1892,1989,2075,2053,2231,2295,2325,2402,2493,2554,2547,2595,2675,2682,2689,2746,2746,2745,2795,2841,2866
 "24000","Maryland",2,SAEXP2,10,"...","   Clothing and footwear","Dollars",989,1048,1079,1100,1099,1083,1068,1124,1180,1209,1187,1149,1105,1114,1146,1180,1168,1184,1197,1192,1192,1216,1225
 "24000","Maryland",2,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",512,442,482,603,587,565,671,785,935,1057,1130,1202,869,987,1140,1204,1203,1143,875,777,852,977,908
 "24000","Maryland",2,SAEXP2,12,"...","   Other nondurable goods","Dollars",1699,1816,1927,2057,2183,2308,2381,2476,2559,2758,2825,2799,2834,2894,2948,2986,3029,3136,3297,3452,3598,3671,3868
 "24000","Maryland",2,SAEXP2,13,"..."," Services","Dollars",13994,14683,15515,16634,17500,18208,19042,20113,21535,22843,24069,25110,25232,25798,26356,26896,27514,28626,29769,30937,32101,33122,34137
 "24000","Maryland",2,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",13719,14400,15169,16235,17061,17665,18487,19635,20914,22067,23267,24123,24249,24756,25233,25660,26265,27324,28494,29562,30673,31592,32680
 "24000","Maryland",2,SAEXP2,15,"...","   Housing and utilities","Dollars",4489,4705,4943,5196,5468,5615,5812,6109,6545,6912,7329,7680,7864,7935,8058,8259,8575,8983,9456,9939,10297,10656,11051
 "24000","Maryland",2,SAEXP2,16,"...","   Health care","Dollars",3032,3122,3224,3389,3714,4008,4253,4594,4842,5048,5345,5635,5838,6016,6169,6299,6339,6599,6919,7119,7323,7459,7717
 "24000","Maryland",2,SAEXP2,17,"...","   Transportation services","Dollars",738,768,836,906,922,897,942,983,1017,1052,1064,1064,1031,1072,1116,1129,1171,1212,1261,1336,1397,1457,1485
 "24000","Maryland",2,SAEXP2,18,"...","   Recreation services","Dollars",856,878,918,997,1044,1090,1150,1218,1290,1350,1442,1453,1474,1508,1495,1502,1572,1613,1684,1774,1850,1865,1859
 "24000","Maryland",2,SAEXP2,19,"...","   Food services and accommodations","Dollars",1271,1311,1398,1447,1514,1565,1568,1693,1823,1975,2097,2164,2138,2176,2248,2348,2426,2519,2684,2800,2994,3093,3207
 "24000","Maryland",2,SAEXP2,20,"...","   Financial services and insurance","Dollars",1392,1513,1672,1892,1825,1819,1884,2043,2201,2305,2422,2445,2221,2331,2419,2409,2467,2552,2573,2529,2649,2753,2889
 "24000","Maryland",2,SAEXP2,21,"...","   Other services","Dollars",1941,2103,2177,2408,2574,2672,2879,2995,3196,3423,3568,3681,3681,3719,3728,3715,3715,3848,3915,4066,4164,4311,4472
 "24000","Maryland",2,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",274,283,347,399,439,543,555,478,622,776,803,987,983,1041,1123,1236,1249,1302,1275,1375,1428,1530,1456
 "24000","Maryland",2,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2082,2259,2411,2565,2741,3055,3255,3360,3708,4036,4171,4466,4606,4767,4941,5133,5211,5342,5524,5744,5941,6132,6251
 "24000","Maryland",2,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1807,1976,2064,2165,2302,2512,2700,2882,3086,3260,3369,3479,3623,3725,3817,3897,3961,4040,4249,4369,4513,4603,4795
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
