GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "23000","Maine",1,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20391,21792,23254,24464,25679,26871,28299,29973,31529,32992,34366,35246,35097,36169,37318,37957,38630,39802,41000,42301,44097,45997,47351
 "23000","Maine",1,SAEXP2,2,"..."," Goods","Dollars",8031,8596,9250,9590,9974,10363,10866,11608,12063,12574,13154,13347,12774,13253,13771,13830,14080,14558,14478,14692,15393,16031,16511
 "23000","Maine",1,SAEXP2,3,"...","  Durable goods","Dollars",2529,2745,3045,3151,3332,3549,3644,3832,3929,3961,4090,3875,3757,3846,3908,3964,4053,4228,4410,4533,4698,4864,5023
 "23000","Maine",1,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1111,1192,1333,1346,1406,1483,1519,1525,1477,1385,1385,1235,1232,1312,1354,1415,1452,1544,1670,1682,1720,1793,1810
 "23000","Maine",1,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",478,524,584,625,673,726,718,779,842,880,901,883,827,830,827,832,869,910,925,983,1040,1098,1153
 "23000","Maine",1,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",611,679,760,800,874,936,987,1064,1104,1129,1182,1158,1114,1108,1131,1130,1130,1142,1154,1187,1238,1259,1328
 "23000","Maine",1,SAEXP2,7,"...","   Other durable goods","Dollars",329,351,368,379,379,403,420,463,506,567,621,600,584,596,597,587,602,632,661,681,700,714,732
 "23000","Maine",1,SAEXP2,8,"...","  Nondurable goods","Dollars",5501,5851,6204,6438,6642,6815,7222,7776,8134,8613,9065,9472,9017,9407,9862,9865,10027,10330,10068,10159,10696,11167,11488
 "23000","Maine",1,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",2159,2389,2494,2486,2570,2582,2667,2802,2792,2880,3111,3234,3343,3398,3450,3549,3610,3751,3776,3833,3977,4132,4299
 "23000","Maine",1,SAEXP2,10,"...","   Clothing and footwear","Dollars",906,928,908,891,900,919,905,963,988,1011,1009,966,927,945,934,931,942,950,955,952,945,961,976
 "23000","Maine",1,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",802,733,793,1011,1005,989,1210,1442,1765,1948,2065,2355,1758,2012,2382,2267,2236,2218,1719,1471,1704,1952,1889
 "23000","Maine",1,SAEXP2,12,"...","   Other nondurable goods","Dollars",1633,1801,2009,2050,2167,2325,2440,2570,2589,2773,2879,2918,2990,3052,3096,3117,3239,3410,3618,3903,4069,4122,4324
 "23000","Maine",1,SAEXP2,13,"..."," Services","Dollars",12361,13196,14005,14874,15705,16508,17432,18365,19466,20418,21212,21900,22323,22916,23547,24128,24551,25244,26523,27609,28704,29966,30840
 "23000","Maine",1,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11676,12420,13137,13966,14693,15388,16231,17172,18196,19008,19813,20381,20709,21258,21790,22300,22709,23372,24603,25567,26533,27734,28544
 "23000","Maine",1,SAEXP2,15,"...","   Housing and utilities","Dollars",3246,3412,3584,3738,3991,4117,4248,4445,4794,5074,5374,5565,5664,5693,5848,6002,6173,6386,6744,6925,7069,7277,7444
 "23000","Maine",1,SAEXP2,16,"...","   Health care","Dollars",2971,3181,3405,3594,3866,4123,4368,4724,5040,5298,5608,5861,6105,6287,6522,6688,6695,6854,7301,7589,7812,8040,8216
 "23000","Maine",1,SAEXP2,17,"...","   Transportation services","Dollars",500,524,567,603,607,597,625,657,686,716,725,738,746,743,748,756,809,858,899,952,988,1040,1073
 "23000","Maine",1,SAEXP2,18,"...","   Recreation services","Dollars",702,737,794,856,897,938,1029,1076,1119,1142,1229,1240,1259,1320,1326,1394,1460,1473,1492,1580,1621,1726,1761
 "23000","Maine",1,SAEXP2,19,"...","   Food services and accommodations","Dollars",1225,1271,1339,1442,1480,1559,1655,1764,1833,1925,1972,2008,2030,2137,2200,2278,2364,2495,2652,2803,2978,3133,3246
 "23000","Maine",1,SAEXP2,20,"...","   Financial services and insurance","Dollars",1360,1492,1625,1797,1748,1813,1917,2049,2194,2275,2333,2382,2261,2383,2480,2507,2557,2644,2787,2883,3119,3337,3443
 "23000","Maine",1,SAEXP2,21,"...","   Other services","Dollars",1672,1802,1822,1935,2104,2240,2390,2457,2529,2577,2573,2588,2645,2695,2666,2675,2651,2660,2729,2834,2947,3181,3360
 "23000","Maine",1,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",685,776,868,908,1012,1120,1201,1193,1270,1410,1399,1518,1613,1657,1757,1828,1842,1872,1920,2041,2171,2232,2297
 "23000","Maine",1,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2180,2323,2461,2515,2725,2988,3127,3226,3437,3652,3687,3870,4096,4239,4431,4592,4656,4784,4960,5113,5340,5434,5666
 "23000","Maine",1,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1495,1547,1593,1607,1713,1868,1927,2033,2166,2242,2289,2351,2482,2582,2673,2765,2815,2912,3040,3072,3170,3202,3369
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
