GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "27000","Minnesota",4,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",22678,23765,25472,27450,28341,29373,30494,31913,32763,33892,34875,35584,35066,35984,37446,38360,39147,40322,41201,42373,44059,45972,47159
 "27000","Minnesota",4,SAEXP2,2,"..."," Goods","Dollars",8010,8361,8989,9760,9999,10163,10467,11076,11235,11307,11521,11659,11053,11445,12112,12435,12567,12683,12586,12663,13163,13707,13983
 "27000","Minnesota",4,SAEXP2,3,"...","  Durable goods","Dollars",3174,3412,3698,3954,4052,4212,4252,4472,4400,4292,4333,4172,3975,4104,4260,4401,4514,4629,4816,4958,5215,5449,5666
 "27000","Minnesota",4,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1251,1334,1414,1414,1477,1501,1438,1421,1322,1206,1194,1055,1031,1113,1189,1280,1335,1419,1531,1558,1664,1765,1778
 "27000","Minnesota",4,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",639,688,766,855,852,907,935,1009,988,991,970,914,822,817,835,861,884,906,961,999,1026,1046,1079
 "27000","Minnesota",4,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",756,821,909,1018,1060,1124,1168,1288,1310,1301,1350,1357,1255,1250,1262,1267,1304,1301,1302,1367,1483,1548,1672
 "27000","Minnesota",4,SAEXP2,7,"...","   Other durable goods","Dollars",528,569,610,667,663,679,712,754,779,794,819,845,868,924,974,993,991,1003,1022,1034,1042,1090,1137
 "27000","Minnesota",4,SAEXP2,8,"...","  Nondurable goods","Dollars",4836,4949,5291,5805,5947,5951,6215,6604,6835,7015,7188,7487,7077,7341,7853,8035,8053,8054,7770,7705,7949,8258,8318
 "27000","Minnesota",4,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1824,1867,1973,2074,2197,2218,2241,2342,2341,2299,2350,2450,2508,2490,2597,2719,2741,2741,2706,2716,2782,2864,2886
 "27000","Minnesota",4,SAEXP2,10,"...","   Clothing and footwear","Dollars",914,937,961,1067,1039,997,1023,1069,1073,1054,1039,1035,993,1028,1054,1076,1088,1109,1123,1137,1141,1164,1159
 "27000","Minnesota",4,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",664,607,676,828,785,721,852,976,1168,1319,1390,1568,1126,1309,1625,1625,1562,1482,1121,987,1087,1209,1150
 "27000","Minnesota",4,SAEXP2,12,"...","   Other nondurable goods","Dollars",1433,1538,1681,1836,1926,2015,2099,2216,2253,2344,2409,2434,2451,2515,2577,2614,2663,2723,2821,2865,2939,3021,3123
 "27000","Minnesota",4,SAEXP2,13,"..."," Services","Dollars",14668,15404,16483,17690,18342,19211,20027,20837,21528,22585,23354,23926,24013,24538,25334,25925,26580,27639,28616,29710,30896,32265,33175
 "27000","Minnesota",4,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",14039,14762,15670,16703,17264,18071,18840,19626,20402,21351,22089,22530,22588,23102,23846,24362,24977,25996,26963,27963,29078,30375,31276
 "27000","Minnesota",4,SAEXP2,15,"...","   Housing and utilities","Dollars",3641,3788,3975,4230,4509,4637,4865,5102,5494,5789,6021,6220,6273,6303,6448,6575,6775,7053,7252,7541,7845,8190,8524
 "27000","Minnesota",4,SAEXP2,16,"...","   Health care","Dollars",3504,3627,3827,4033,4304,4721,4867,5075,5261,5588,5801,5882,6167,6352,6488,6654,6819,7088,7386,7731,8001,8394,8618
