GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "29000","Missouri",4,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20142,21115,22329,23457,24301,25280,26173,27109,28278,29170,30256,31271,31002,31706,33082,34075,34541,35349,36260,37275,38699,40068,41279
 "29000","Missouri",4,SAEXP2,2,"..."," Goods","Dollars",8161,8380,8907,9131,9388,9757,10048,10335,10710,10908,11103,11379,10875,11113,11717,12022,12063,12218,12123,12270,12735,13093,13293
 "29000","Missouri",4,SAEXP2,3,"...","  Durable goods","Dollars",2810,2984,3186,3233,3370,3554,3636,3694,3734,3665,3670,3516,3333,3311,3395,3499,3543,3647,3806,3906,4035,4172,4250
 "29000","Missouri",4,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1215,1307,1388,1369,1464,1507,1489,1458,1430,1343,1347,1179,1140,1223,1270,1356,1386,1452,1562,1581,1622,1668,1663
 "29000","Missouri",4,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",524,555,603,642,651,703,744,780,817,815,812,774,698,688,711,727,731,748,781,828,873,913,924
 "29000","Missouri",4,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",773,810,863,886,923,990,1029,1066,1086,1086,1074,1116,1051,960,951,946,952,962,965,998,1043,1086,1155
 "29000","Missouri",4,SAEXP2,7,"...","   Other durable goods","Dollars",298,312,331,336,332,355,374,389,400,422,437,447,445,440,463,469,473,484,497,499,498,504,508
 "29000","Missouri",4,SAEXP2,8,"...","  Nondurable goods","Dollars",5351,5396,5721,5897,6017,6203,6412,6642,6977,7243,7434,7862,7541,7802,8322,8523,8520,8571,8318,8364,8700,8921,9043
 "29000","Missouri",4,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1699,1721,1764,1787,1828,1887,1937,2027,2127,2150,2251,2361,2425,2464,2527,2569,2578,2602,2627,2665,2728,2728,2722
 "29000","Missouri",4,SAEXP2,10,"...","   Clothing and footwear","Dollars",778,799,827,797,794,838,860,861,879,894,880,867,857,853,888,907,908,926,939,955,963,976,987
 "29000","Missouri",4,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",674,614,680,813,787,745,868,1012,1233,1391,1495,1736,1266,1499,1812,1876,1835,1731,1323,1173,1300,1430,1375
 "29000","Missouri",4,SAEXP2,12,"...","   Other nondurable goods","Dollars",2200,2262,2450,2501,2608,2733,2747,2742,2737,2807,2808,2898,2994,2987,3095,3172,3199,3312,3430,3572,3710,3787,3958
 "29000","Missouri",4,SAEXP2,13,"..."," Services","Dollars",11981,12734,13422,14327,14913,15523,16125,16773,17568,18262,19152,19893,20128,20593,21365,22052,22478,23132,24137,25005,25964,26976,27986
 "29000","Missouri",4,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11572,12266,12908,13764,14282,14837,15398,16069,16883,17506,18407,19052,19278,19737,20436,21041,21433,22072,23056,23853,24748,25717,26727
 "29000","Missouri",4,SAEXP2,15,"...","   Housing and utilities","Dollars",3009,3149,3283,3489,3740,3823,3942,4126,4417,4645,4806,4946,5011,5065,5210,5301,5440,5633,5870,6054,6270,6555,6792
 "29000","Missouri",4,SAEXP2,16,"...","   Health care","Dollars",2912,3084,3169,3323,3602,3885,4135,4330,4553,4572,4966,5298,5469,5577,5823,6018,6069,6159,6502,6810,7024,7239,7606
 "29000","Missouri",4,SAEXP2,17,"...","   Transportation services","Dollars",827,866,943,973,938,915,876,842,856,881,896,892,833,826,862,882,918,977,1031,1102,1149,1182,1210
 "29000","Missouri",4,SAEXP2,18,"...","   Recreation services","Dollars",847,880,952,1034,1008,1057,1077,1133,1156,1237,1289,1278,1354,1404,1427,1544,1581,1613,1710,1755,1768,1787,1807
 "29000","Missouri",4,SAEXP2,19,"...","   Food services and accommodations","Dollars",1246,1298,1352,1419,1447,1509,1574,1656,1746,1815,1898,1935,1940,1999,2047,2093,2131,2203,2293,2346,2457,2550,2619
 "29000","Missouri",4,SAEXP2,20,"...","   Financial services and insurance","Dollars",1284,1397,1531,1691,1612,1627,1692,1820,1956,2030,2143,2243,2156,2339,2497,2605,2709,2861,2956,3015,3228,3417,3560
 "29000","Missouri",4,SAEXP2,21,"...","   Other services","Dollars",1448,1592,1678,1835,1934,2021,2102,2162,2199,2326,2409,2459,2514,2526,2569,2599,2585,2627,2695,2772,2853,2987,3132
 "29000","Missouri",4,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",408,468,514,563,631,686,727,705,685,756,745,841,850,856,929,1011,1045,1059,1081,1152,1216,1258,1259
 "29000","Missouri",4,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1706,1838,1933,2041,2201,2370,2471,2552,2621,2780,2861,3018,3117,3188,3313,3461,3543,3585,3752,3951,4106,4255,4440
 "29000","Missouri",4,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1297,1370,1418,1477,1570,1684,1744,1848,1936,2024,2116,2177,2267,2332,2383,2450,2498,2526,2671,2799,2890,2996,3180
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
