GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "31000","Nebraska",4,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",19121,20007,21182,22607,23570,24196,25424,27033,28498,29708,30963,31942,31399,32524,33794,34781,35452,36327,37183,38350,39626,40893,41789
 "31000","Nebraska",4,SAEXP2,2,"..."," Goods","Dollars",7324,7533,8063,8424,8647,8690,9082,9826,10331,10770,11314,11503,10884,11501,12111,12479,12628,12770,12602,12708,12981,13326,13454
 "31000","Nebraska",4,SAEXP2,3,"...","  Durable goods","Dollars",2812,2954,3156,3207,3292,3388,3445,3660,3742,3782,3908,3717,3594,3810,3874,4062,4189,4296,4439,4499,4579,4712,4827
 "31000","Nebraska",4,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1135,1223,1356,1364,1489,1565,1547,1573,1492,1421,1491,1365,1354,1509,1586,1695,1706,1750,1815,1787,1809,1827,1808
 "31000","Nebraska",4,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",779,783,794,804,798,788,801,873,923,929,908,884,842,865,828,874,916,955,1002,1046,1089,1158,1221
 "31000","Nebraska",4,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",525,552,597,615,598,623,661,743,826,889,938,905,847,855,861,888,947,950,983,1022,1050,1084,1146
 "31000","Nebraska",4,SAEXP2,7,"...","   Other durable goods","Dollars",373,396,410,424,408,413,436,471,501,543,572,563,551,581,599,605,621,640,639,644,632,643,652
 "31000","Nebraska",4,SAEXP2,8,"...","  Nondurable goods","Dollars",4513,4579,4907,5218,5355,5302,5637,6166,6589,6988,7405,7785,7289,7691,8236,8417,8439,8474,8163,8208,8401,8613,8627
 "31000","Nebraska",4,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1691,1727,1813,1863,1913,1897,1945,2091,2164,2235,2372,2467,2453,2439,2497,2551,2569,2702,2782,2834,2887,2914,2908
 "31000","Nebraska",4,SAEXP2,10,"...","   Clothing and footwear","Dollars",775,795,815,836,828,809,826,855,876,875,884,872,859,880,907,915,917,946,959,967,969,981,979
 "31000","Nebraska",4,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",670,604,680,839,835,791,965,1174,1418,1607,1769,2021,1494,1777,2173,2189,2106,1924,1420,1285,1374,1523,1447
 "31000","Nebraska",4,SAEXP2,12,"...","   Other nondurable goods","Dollars",1377,1453,1599,1681,1779,1805,1900,2046,2132,2271,2380,2426,2482,2594,2659,2761,2846,2902,3002,3122,3172,3195,3293
 "31000","Nebraska",4,SAEXP2,13,"..."," Services","Dollars",11797,12473,13119,14183,14923,15505,16343,17207,18167,18938,19650,20440,20515,21023,21684,22302,22825,23557,24581,25643,26646,27568,28336
 "31000","Nebraska",4,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11413,11973,12604,13604,14294,14808,15598,16452,17436,18168,18900,19560,19576,20066,20664,21152,21646,22342,23335,24304,25251,26151,26912
 "31000","Nebraska",4,SAEXP2,15,"...","   Housing and utilities","Dollars",3043,3165,3300,3523,3810,3860,3988,4155,4492,4684,4843,4950,4968,4963,5089,5173,5392,5609,5822,6006,6241,6497,6759
 "31000","Nebraska",4,SAEXP2,16,"...","   Health care","Dollars",2579,2731,2866,3130,3475,3770,4082,4362,4701,4926,5106,5388,5503,5733,5902,6036,6061,6205,6580,6938,7200,7349,7518
 "31000","Nebraska",4,SAEXP2,17,"...","   Transportation services","Dollars",548,597,635,672,706,694,710,739,764,777,809,837,817,849,889,910,942,989,1014,1029,1039,1081,1099
 "31000","Nebraska",4,SAEXP2,18,"...","   Recreation services","Dollars",829,806,822,878,912,941,987,1010,1032,1100,1146,1180,1233,1241,1243,1296,1345,1390,1448,1521,1594,1623,1653
 "31000","Nebraska",4,SAEXP2,19,"...","   Food services and accommodations","Dollars",1134,1178,1247,1322,1332,1346,1413,1505,1577,1645,1710,1749,1747,1777,1832,1906,2006,2081,2210,2303,2340,2407,2448
 "31000","Nebraska",4,SAEXP2,20,"...","   Financial services and insurance","Dollars",1501,1681,1875,2143,2051,2117,2211,2423,2563,2642,2793,2943,2817,3014,3199,3341,3410,3524,3653,3813,4065,4302,4452
 "31000","Nebraska",4,SAEXP2,21,"...","   Other services","Dollars",1778,1815,1858,1936,2007,2079,2207,2258,2307,2393,2494,2514,2491,2489,2509,2490,2490,2544,2609,2694,2772,2892,2983
 "31000","Nebraska",4,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",383,501,515,578,629,697,745,755,731,770,749,880,940,957,1020,1150,1179,1215,1246,1338,1395,1417,1424
 "31000","Nebraska",4,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1821,1997,2047,2176,2315,2518,2576,2700,2806,2940,2942,3141,3318,3441,3572,3800,3891,3979,4184,4444,4642,4625,4832
 "31000","Nebraska",4,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1438,1496,1532,1598,1686,1821,1831,1946,2075,2170,2193,2261,2378,2484,2552,2649,2712,2763,2938,3105,3247,3209,3408
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
