GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "35000","New Mexico",6,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",17350,18097,19125,20029,20714,21343,22313,23770,25156,26420,27454,28406,27875,28444,29443,30231,30805,32077,33062,33880,34844,36392,37158
 "35000","New Mexico",6,SAEXP2,2,"..."," Goods","Dollars",6627,6831,7326,7666,7798,7976,8356,8970,9428,9931,10380,10516,9682,9837,10300,10529,10677,11016,11094,11073,11321,11878,11862
 "35000","New Mexico",6,SAEXP2,3,"...","  Durable goods","Dollars",2495,2628,2822,2900,2983,3109,3177,3422,3515,3571,3712,3500,3145,3134,3190,3334,3466,3618,3785,3822,3907,4096,4141
 "35000","New Mexico",6,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1029,1101,1176,1197,1280,1350,1321,1368,1392,1345,1376,1179,1025,1072,1131,1232,1299,1365,1455,1464,1487,1556,1517
 "35000","New Mexico",6,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",570,595,630,656,651,667,697,751,775,805,831,777,669,653,657,683,702,732,755,771,802,848,881
 "35000","New Mexico",6,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",520,540,598,612,623,643,676,775,817,845,883,915,828,780,762,767,796,824,853,867,893,944,998
 "35000","New Mexico",6,SAEXP2,7,"...","   Other durable goods","Dollars",376,392,417,435,429,449,482,528,531,576,622,629,622,629,640,653,669,697,722,719,724,749,745
 "35000","New Mexico",6,SAEXP2,8,"...","  Nondurable goods","Dollars",4132,4202,4504,4766,4814,4867,5179,5548,5913,6360,6668,7016,6537,6703,7110,7194,7211,7397,7309,7251,7415,7782,7721
 "35000","New Mexico",6,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1610,1652,1733,1765,1788,1773,1861,1952,2071,2214,2343,2442,2439,2422,2514,2554,2596,2703,2806,2837,2877,2936,2970
 "35000","New Mexico",6,SAEXP2,10,"...","   Clothing and footwear","Dollars",656,660,697,688,705,728,761,788,759,778,792,778,763,767,768,789,791,808,816,833,837,857,862
 "35000","New Mexico",6,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",628,571,635,807,761,747,862,1019,1237,1391,1476,1731,1254,1408,1692,1690,1655,1587,1299,1122,1197,1393,1223
 "35000","New Mexico",6,SAEXP2,12,"...","   Other nondurable goods","Dollars",1238,1318,1439,1507,1561,1620,1694,1789,1847,1977,2056,2064,2081,2106,2137,2161,2168,2299,2388,2459,2504,2596,2666
 "35000","New Mexico",6,SAEXP2,13,"..."," Services","Dollars",10724,11266,11799,12363,12917,13367,13957,14800,15727,16488,17074,17890,18193,18607,19143,19702,20128,21061,21968,22808,23522,24514,25296
 "35000","New Mexico",6,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",10380,10816,11295,11817,12330,12766,13311,14161,15026,15707,16328,17056,17340,17743,18227,18726,19133,20044,20934,21702,22357,23301,24079
 "35000","New Mexico",6,SAEXP2,15,"...","   Housing and utilities","Dollars",3025,3140,3262,3451,3679,3738,3862,4063,4304,4490,4598,4755,4778,4793,4921,5078,5262,5494,5756,5936,6179,6408,6590
 "35000","New Mexico",6,SAEXP2,16,"...","   Health care","Dollars",2475,2513,2571,2620,2784,3005,3114,3539,3850,3896,4086,4417,4750,4919,5075,5243,5249,5532,5826,6160,6228,6504,6825
 "35000","New Mexico",6,SAEXP2,17,"...","   Transportation services","Dollars",616,652,680,730,758,752,761,768,803,815,849,870,791,809,846,867,893,895,900,922,954,998,1020
 "35000","New Mexico",6,SAEXP2,18,"...","   Recreation services","Dollars",736,810,845,805,817,840,899,940,968,1045,1146,1222,1258,1265,1252,1317,1332,1361,1409,1436,1440,1465,1507
 "35000","New Mexico",6,SAEXP2,19,"...","   Food services and accommodations","Dollars",1242,1266,1304,1389,1423,1499,1580,1667,1754,1875,1939,2002,2010,2037,2084,2151,2234,2380,2500,2577,2658,2784,2867
 "35000","New Mexico",6,SAEXP2,20,"...","   Financial services and insurance","Dollars",1123,1206,1297,1424,1381,1407,1474,1541,1666,1749,1823,1863,1809,1973,2091,2117,2207,2357,2445,2516,2643,2749,2792
 "35000","New Mexico",6,SAEXP2,21,"...","   Other services","Dollars",1162,1229,1335,1397,1488,1525,1621,1644,1682,1838,1886,1927,1944,1946,1957,1952,1956,2025,2098,2155,2256,2392,2478
 "35000","New Mexico",6,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",344,451,504,546,587,601,647,639,701,781,746,834,853,864,916,976,995,1017,1034,1106,1165,1213,1217
 "35000","New Mexico",6,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1420,1594,1697,1785,1870,1934,2049,2125,2325,2477,2481,2645,2760,2848,2960,3104,3156,3269,3469,3728,3871,4080,4261
 "35000","New Mexico",6,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1077,1144,1193,1239,1284,1333,1403,1486,1623,1696,1735,1811,1907,1984,2044,2127,2161,2252,2435,2622,2705,2867,3044
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
