GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "32000","Nevada",8,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20376,21015,22545,23854,24538,25369,26467,28218,30252,32087,33209,33548,32413,33151,34497,35307,36247,37656,38715,39755,41009,42367,43166
 "32000","Nevada",8,SAEXP2,2,"..."," Goods","Dollars",7839,7977,8655,9051,9329,9430,9909,10716,11463,12004,11988,11618,10441,10649,11247,11533,11951,12451,12628,12812,13298,13788,14137
 "32000","Nevada",8,SAEXP2,3,"...","  Durable goods","Dollars",2866,3029,3312,3467,3631,3752,3907,4277,4606,4640,4499,3965,3375,3397,3565,3723,3967,4156,4306,4434,4615,4849,4997
 "32000","Nevada",8,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1084,1156,1262,1295,1383,1444,1424,1545,1602,1536,1477,1149,918,944,1013,1149,1236,1282,1372,1377,1411,1448,1417
 "32000","Nevada",8,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",704,727,799,863,886,944,994,1098,1210,1218,1126,991,840,829,833,842,883,936,983,1053,1121,1187,1228
 "32000","Nevada",8,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",763,801,855,908,967,958,1029,1118,1228,1263,1225,1157,990,960,987,978,1042,1090,1077,1141,1209,1320,1443
 "32000","Nevada",8,SAEXP2,7,"...","   Other durable goods","Dollars",314,346,395,401,394,406,460,516,566,622,671,667,627,664,732,754,806,848,874,863,875,895,908
 "32000","Nevada",8,SAEXP2,8,"...","  Nondurable goods","Dollars",4973,4948,5343,5585,5698,5678,6002,6439,6857,7364,7489,7653,7066,7252,7682,7810,7984,8296,8322,8378,8683,8939,9140
 "32000","Nevada",8,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",2052,2007,2091,2142,2197,2166,2263,2404,2460,2611,2708,2752,2665,2632,2704,2746,2800,2935,3030,3068,3130,3196,3267
 "32000","Nevada",8,SAEXP2,10,"...","   Clothing and footwear","Dollars",658,700,773,757,757,751,804,871,939,979,992,998,937,1000,1077,1114,1135,1174,1177,1166,1136,1169,1192
 "32000","Nevada",8,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",567,495,558,659,617,569,658,788,977,1116,1105,1222,848,982,1190,1210,1208,1172,910,814,933,1020,945
 "32000","Nevada",8,SAEXP2,12,"...","   Other nondurable goods","Dollars",1696,1745,1920,2027,2128,2193,2277,2376,2481,2658,2683,2681,2617,2637,2711,2741,2841,3015,3205,3330,3485,3554,3736
 "32000","Nevada",8,SAEXP2,13,"..."," Services","Dollars",12537,13037,13890,14802,15209,15939,16558,17502,18788,20083,21221,21930,21972,22502,23250,23774,24296,25204,26087,26943,27711,28579,29029
 "32000","Nevada",8,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12213,12758,13543,14463,14859,15547,16178,17140,18405,19484,20544,21176,21241,21722,22409,22838,23312,24202,25032,25785,26542,27369,27850
 "32000","Nevada",8,SAEXP2,15,"...","   Housing and utilities","Dollars",3938,4056,4126,4248,4509,4616,4657,4833,5121,5452,5692,5947,6330,6460,6591,6671,6735,6961,7207,7308,7419,7521,7713
 "32000","Nevada",8,SAEXP2,16,"...","   Health care","Dollars",2264,2363,2479,2615,2824,3115,3266,3514,3650,3771,4041,4200,4264,4308,4444,4482,4638,4876,5067,5314,5503,5682,5844
 "32000","Nevada",8,SAEXP2,17,"...","   Transportation services","Dollars",711,724,778,830,785,746,802,864,879,906,904,907,822,826,942,958,985,987,969,966,1014,1056,1066
 "32000","Nevada",8,SAEXP2,18,"...","   Recreation services","Dollars",752,769,838,914,903,910,983,1020,1100,1123,1170,1161,1109,1178,1256,1321,1320,1397,1431,1458,1455,1509,1530
 "32000","Nevada",8,SAEXP2,19,"...","   Food services and accommodations","Dollars",1182,1176,1261,1348,1279,1267,1337,1438,1578,1665,1708,1673,1530,1575,1655,1664,1721,1809,1856,1879,1903,1914,1906
 "32000","Nevada",8,SAEXP2,20,"...","   Financial services and insurance","Dollars",2061,2282,2592,2957,2927,3150,3329,3614,4070,4519,4958,5215,5170,5344,5483,5708,5878,6081,6326,6577,6834,7101,7099
 "32000","Nevada",8,SAEXP2,21,"...","   Other services","Dollars",1305,1388,1468,1551,1631,1741,1804,1856,2008,2048,2070,2074,2017,2031,2038,2034,2035,2090,2176,2282,2414,2586,2692
 "32000","Nevada",8,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",324,280,347,339,350,391,380,362,383,599,677,754,732,779,840,936,984,1003,1055,1157,1168,1211,1179
 "32000","Nevada",8,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1600,1631,1716,1694,1739,1846,1951,2013,2213,2449,2615,2795,2872,3008,3168,3359,3459,3622,3775,3969,4047,4292,4382
 "32000","Nevada",8,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1277,1352,1369,1355,1390,1455,1571,1650,1830,1850,1938,2041,2141,2228,2327,2422,2475,2619,2720,2811,2879,3081,3203
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
