GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "36000","New York",2,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",22269,23450,24805,26461,27447,28225,29653,31446,33460,35264,36810,37731,37052,38113,39628,40746,41996,44148,45711,47502,49637,52482,54890
 "36000","New York",2,SAEXP2,2,"..."," Goods","Dollars",7035,7304,7821,8294,8583,8807,9210,9734,10302,10720,11084,11105,10534,10951,11537,11728,12054,12522,12676,12882,13405,14207,14846
 "36000","New York",2,SAEXP2,3,"...","  Durable goods","Dollars",1988,2140,2332,2485,2598,2725,2845,3000,3107,3173,3312,3130,2881,2946,3054,3092,3223,3336,3433,3524,3644,3849,3981
 "36000","New York",2,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",662,714,772,805,856,915,957,977,970,920,944,821,775,826,872,918,957,1009,1056,1081,1127,1174,1174
 "36000","New York",2,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",497,535,595,652,684,722,739,807,845,878,924,900,811,822,849,862,889,918,952,984,1025,1079,1142
 "36000","New York",2,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",542,585,628,666,701,719,753,791,835,867,899,871,783,760,742,710,708,712,722,747,766,829,869
 "36000","New York",2,SAEXP2,7,"...","   Other durable goods","Dollars",287,308,337,361,357,369,395,424,457,508,545,538,512,537,590,603,668,697,702,712,726,767,796
 "36000","New York",2,SAEXP2,8,"...","  Nondurable goods","Dollars",5047,5164,5489,5809,5985,6082,6366,6735,7195,7547,7771,7974,7653,8006,8483,8636,8832,9187,9243,9359,9761,10358,10865
 "36000","New York",2,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1483,1490,1568,1624,1697,1736,1797,1884,2044,2121,2200,2285,2297,2378,2479,2562,2629,2725,2784,2829,2927,3069,3206
 "36000","New York",2,SAEXP2,10,"...","   Clothing and footwear","Dollars",1195,1231,1301,1340,1317,1321,1341,1385,1442,1522,1522,1489,1405,1485,1610,1661,1700,1735,1734,1754,1746,1829,1906
 "36000","New York",2,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",371,319,346,441,425,401,481,560,664,740,798,922,680,775,924,894,887,856,660,567,639,727,701
 "36000","New York",2,SAEXP2,12,"...","   Other nondurable goods","Dollars",1997,2125,2274,2405,2547,2624,2747,2906,3044,3164,3252,3280,3271,3367,3470,3520,3615,3871,4064,4208,4450,4733,5052
 "36000","New York",2,SAEXP2,13,"..."," Services","Dollars",15234,16145,16983,18167,18863,19419,20443,21711,23158,24543,25727,26626,26518,27162,28091,29018,29942,31626,33036,34619,36232,38275,40044
 "36000","New York",2,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",14752,15553,16351,17455,18059,18535,19525,20747,22107,23401,24564,25281,25160,25774,26632,27391,28301,29917,31284,32708,34257,36158,37917
 "36000","New York",2,SAEXP2,15,"...","   Housing and utilities","Dollars",4138,4306,4510,4752,5077,5212,5428,5660,6120,6438,6757,7010,7084,7118,7313,7392,7584,7937,8310,8591,8916,9320,9657
 "36000","New York",2,SAEXP2,16,"...","   Health care","Dollars",3464,3634,3777,3933,4197,4480,4766,5074,5274,5495,5744,5908,6184,6333,6454,6544,6691,6968,7237,7671,8032,8603,9165
 "36000","New York",2,SAEXP2,17,"...","   Transportation services","Dollars",1063,1130,1189,1271,1272,1228,1271,1358,1425,1506,1577,1634,1607,1656,1765,1828,1953,2118,2236,2356,2514,2669,2739
 "36000","New York",2,SAEXP2,18,"...","   Recreation services","Dollars",811,855,937,997,1023,1028,1083,1171,1232,1353,1434,1482,1452,1509,1535,1618,1680,1816,1879,1960,2008,2089,2154
 "36000","New York",2,SAEXP2,19,"...","   Food services and accommodations","Dollars",1230,1286,1383,1512,1493,1531,1630,1764,1898,2051,2194,2293,2247,2373,2530,2662,2739,2942,3107,3273,3510,3710,3874
 "36000","New York",2,SAEXP2,20,"...","   Financial services and insurance","Dollars",1633,1778,1946,2180,2070,2084,2172,2358,2590,2756,2891,2898,2607,2700,2842,2995,3223,3402,3551,3563,3837,4110,4391
 "36000","New York",2,SAEXP2,21,"...","   Other services","Dollars",2412,2565,2608,2812,2928,2974,3176,3362,3568,3802,3967,4056,3978,4084,4193,4353,4432,4735,4964,5293,5441,5657,5936
 "36000","New York",2,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",483,592,632,712,804,883,918,964,1050,1142,1163,1345,1358,1389,1459,1626,1641,1708,1752,1911,1974,2117,2127
 "36000","New York",2,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2360,2461,2553,2721,2949,3181,3379,3651,3901,4151,4375,4647,4818,5008,5177,5464,5583,5840,5971,6382,6687,7159,7487
 "36000","New York",2,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1878,1869,1922,2010,2145,2298,2461,2687,2850,3009,3212,3302,3460,3620,3718,3838,3942,4132,4219,4471,4713,5041,5360
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
