GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "39000","Ohio",3,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",19492,20525,21694,23113,24006,24836,25895,26978,28318,29325,30549,31081,30701,31704,33109,34213,34935,36221,37455,38561,40092,41587,42707
 "39000","Ohio",3,SAEXP2,2,"..."," Goods","Dollars",7310,7618,8082,8517,8602,8864,9194,9432,9643,9838,10186,10020,9503,9951,10656,11086,11339,11680,11827,11984,12527,12881,13090
 "39000","Ohio",3,SAEXP2,3,"...","  Durable goods","Dollars",2640,2818,3014,3115,3143,3272,3335,3422,3446,3412,3468,3171,2952,3046,3219,3375,3504,3669,3828,3966,4180,4335,4467
 "39000","Ohio",3,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1169,1224,1316,1312,1339,1368,1355,1337,1297,1194,1209,1068,1007,1097,1174,1240,1299,1390,1460,1493,1564,1621,1632
 "39000","Ohio",3,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",603,642,678,725,722,753,766,802,807,800,792,732,660,664,700,731,742,766,814,854,913,957,996
 "39000","Ohio",3,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",549,599,639,683,690,740,772,838,887,932,961,885,802,779,805,836,888,923,949,1002,1085,1127,1204
 "39000","Ohio",3,SAEXP2,7,"...","   Other durable goods","Dollars",319,353,380,395,391,411,443,444,455,485,506,486,483,506,540,568,575,590,605,617,618,630,635
 "39000","Ohio",3,SAEXP2,8,"...","  Nondurable goods","Dollars",4670,4800,5068,5402,5459,5591,5859,6011,6197,6426,6717,6849,6550,6906,7438,7711,7835,8011,7999,8018,8347,8547,8623
 "39000","Ohio",3,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1727,1747,1765,1842,1920,1973,2053,2073,2116,2144,2237,2353,2359,2411,2539,2647,2706,2809,2907,2961,3110,3171,3215
 "39000","Ohio",3,SAEXP2,10,"...","   Clothing and footwear","Dollars",829,883,911,904,887,873,891,874,879,908,882,850,815,844,864,917,927,945,957,974,974,979,980
 "39000","Ohio",3,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",513,461,536,668,600,572,666,755,881,963,1126,1171,873,1068,1354,1406,1389,1331,1037,901,994,1093,1042
 "39000","Ohio",3,SAEXP2,12,"...","   Other nondurable goods","Dollars",1601,1709,1856,1988,2052,2174,2249,2308,2321,2411,2474,2476,2503,2582,2681,2741,2812,2925,3099,3182,3268,3304,3386
 "39000","Ohio",3,SAEXP2,13,"..."," Services","Dollars",12182,12907,13612,14596,15405,15972,16701,17546,18675,19488,20364,21061,21198,21753,22453,23127,23596,24541,25628,26576,27565,28706,29617
 "39000","Ohio",3,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11604,12214,12869,13764,14458,14954,15627,16508,17572,18296,19128,19684,19792,20324,20934,21519,21946,22863,23924,24778,25709,26799,27690
 "39000","Ohio",3,SAEXP2,15,"...","   Housing and utilities","Dollars",3144,3264,3445,3673,3910,4013,4181,4368,4707,4916,5091,5263,5291,5288,5361,5390,5478,5673,5834,5967,6153,6375,6617
 "39000","Ohio",3,SAEXP2,16,"...","   Health care","Dollars",2897,3009,3130,3331,3670,3978,4204,4510,4844,5026,5224,5403,5639,5828,6038,6324,6418,6684,7080,7406,7592,7814,8033
 "39000","Ohio",3,SAEXP2,17,"...","   Transportation services","Dollars",829,878,932,1014,996,962,966,985,1002,1001,1019,1005,950,960,1012,1032,1063,1119,1161,1189,1225,1287,1326
 "39000","Ohio",3,SAEXP2,18,"...","   Recreation services","Dollars",872,914,977,1021,1050,1062,1101,1158,1206,1238,1313,1330,1316,1360,1349,1411,1450,1503,1562,1619,1689,1733,1769
 "39000","Ohio",3,SAEXP2,19,"...","   Food services and accommodations","Dollars",1222,1271,1316,1375,1407,1457,1515,1584,1632,1676,1748,1773,1755,1811,1901,2012,2062,2129,2243,2283,2339,2427,2490
 "39000","Ohio",3,SAEXP2,20,"...","   Financial services and insurance","Dollars",1201,1308,1435,1596,1530,1535,1612,1787,1998,2144,2341,2469,2408,2599,2780,2862,3000,3239,3467,3657,3980,4320,4512
 "39000","Ohio",3,SAEXP2,21,"...","   Other services","Dollars",1438,1570,1634,1754,1896,1948,2050,2116,2183,2295,2392,2441,2433,2479,2493,2488,2476,2517,2578,2658,2732,2843,2943
 "39000","Ohio",3,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",578,693,743,833,947,1018,1074,1038,1104,1192,1236,1377,1407,1429,1519,1608,1650,1677,1703,1798,1855,1907,1927
 "39000","Ohio",3,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2061,2229,2342,2520,2756,2965,3083,3151,3349,3516,3667,3891,4061,4212,4390,4583,4695,4815,4977,5195,5264,5432,5630
 "39000","Ohio",3,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1483,1536,1599,1688,1810,1947,2009,2114,2245,2324,2431,2514,2654,2783,2871,2975,3045,3138,3273,3397,3409,3525,3703
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
