GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "41000","Oregon",8,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20890,21801,23045,24214,24721,25475,26323,27960,29527,31097,32221,32497,31457,32124,33276,34010,34985,36393,37664,38676,40355,42202,43707
 "41000","Oregon",8,SAEXP2,2,"..."," Goods","Dollars",7828,8052,8575,8914,8894,9042,9274,9975,10550,11186,11525,11192,10276,10578,11022,11267,11637,12050,12191,12209,12787,13471,13842
 "41000","Oregon",8,SAEXP2,3,"...","  Durable goods","Dollars",2931,3116,3386,3412,3378,3494,3536,3788,3983,4121,4190,3713,3284,3367,3439,3552,3772,3998,4200,4362,4668,4933,5094
 "41000","Oregon",8,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1217,1299,1383,1347,1345,1373,1300,1331,1354,1314,1308,1053,921,956,975,1043,1110,1175,1290,1351,1450,1486,1447
 "41000","Oregon",8,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",678,713,787,798,780,798,831,917,995,1060,1068,970,837,853,848,876,931,995,1055,1108,1191,1267,1333
 "41000","Oregon",8,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",770,821,902,945,933,989,1059,1164,1228,1300,1349,1245,1095,1112,1141,1144,1229,1299,1320,1376,1495,1620,1749
 "41000","Oregon",8,SAEXP2,7,"...","   Other durable goods","Dollars",265,282,314,322,320,334,347,376,406,447,465,444,430,447,475,489,502,528,535,528,533,559,566
 "41000","Oregon",8,SAEXP2,8,"...","  Nondurable goods","Dollars",4897,4936,5189,5503,5516,5547,5738,6188,6567,7065,7335,7479,6992,7211,7583,7716,7865,8052,7991,7847,8118,8539,8747
 "41000","Oregon",8,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1950,1989,2045,2135,2216,2273,2375,2562,2668,2838,2982,3030,2962,2982,3072,3136,3182,3290,3360,3290,3341,3440,3538
 "41000","Oregon",8,SAEXP2,10,"...","   Clothing and footwear","Dollars",890,896,918,918,906,900,885,941,990,1036,1009,954,906,942,987,1023,1036,1065,1082,1081,1100,1153,1188
 "41000","Oregon",8,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",611,538,585,741,650,575,643,775,918,1034,1109,1238,874,987,1157,1145,1161,1122,877,782,893,1022,963
 "41000","Oregon",8,SAEXP2,12,"...","   Other nondurable goods","Dollars",1446,1513,1641,1709,1743,1798,1835,1911,1991,2157,2235,2257,2251,2300,2366,2413,2485,2575,2671,2693,2785,2923,3058
 "41000","Oregon",8,SAEXP2,13,"..."," Services","Dollars",13063,13748,14470,15299,15827,16433,17049,17984,18977,19912,20696,21305,21181,21546,22254,22743,23348,24344,25472,26468,27568,28730,29865
 "41000","Oregon",8,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12674,13283,13982,14707,15211,15761,16359,17280,18314,19167,19937,20427,20267,20594,21219,21612,22162,23121,24202,25105,26174,27285,28410
 "41000","Oregon",8,SAEXP2,15,"...","   Housing and utilities","Dollars",4154,4371,4576,4827,5114,5330,5469,5727,6052,6294,6511,6668,6731,6654,6860,6940,7110,7309,7623,7834,8147,8402,8708
 "41000","Oregon",8,SAEXP2,16,"...","   Health care","Dollars",2455,2563,2698,2871,3136,3474,3630,3917,4222,4457,4732,4924,5103,5276,5439,5554,5707,6080,6422,6739,7024,7237,7596
 "41000","Oregon",8,SAEXP2,17,"...","   Transportation services","Dollars",823,855,920,961,948,906,933,963,1010,1075,1134,1139,1042,1034,1077,1113,1159,1207,1230,1281,1319,1387,1422
 "41000","Oregon",8,SAEXP2,18,"...","   Recreation services","Dollars",972,995,1079,1067,1070,1080,1122,1192,1255,1311,1393,1418,1377,1410,1430,1514,1547,1610,1663,1748,1813,1885,1930
 "41000","Oregon",8,SAEXP2,19,"...","   Food services and accommodations","Dollars",1356,1393,1473,1546,1546,1584,1670,1771,1894,1994,2078,2097,2008,2046,2121,2219,2343,2468,2662,2755,2889,3105,3199
 "41000","Oregon",8,SAEXP2,20,"...","   Financial services and insurance","Dollars",1474,1573,1648,1762,1678,1655,1687,1767,1887,1937,1956,1982,1833,1990,2072,2049,2099,2199,2265,2300,2432,2585,2708
 "41000","Oregon",8,SAEXP2,21,"...","   Other services","Dollars",1440,1533,1587,1673,1720,1732,1847,1943,1994,2099,2133,2199,2172,2184,2220,2223,2198,2248,2336,2449,2549,2682,2846
 "41000","Oregon",8,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",389,465,489,592,616,672,690,705,663,744,759,878,914,952,1035,1131,1186,1223,1270,1362,1394,1446,1456
 "41000","Oregon",8,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1824,1936,2002,2208,2292,2454,2531,2690,2725,2886,3017,3214,3379,3540,3731,3931,4039,4188,4482,4727,4900,5058,5277
 "41000","Oregon",8,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1436,1471,1514,1616,1677,1781,1841,1985,2062,2141,2257,2336,2465,2588,2696,2800,2852,2966,3212,3365,3506,3612,3822
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
