GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "42000","Pennsylvania",2,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20455,21552,22812,24381,25456,26357,27858,29331,30877,32241,33563,34580,34081,35267,36552,37224,37979,39115,40199,41352,42822,44829,46502
 "42000","Pennsylvania",2,SAEXP2,2,"..."," Goods","Dollars",7175,7466,8033,8530,8732,8960,9481,9916,10283,10566,10894,11052,10626,11074,11629,11827,11963,12128,12171,12426,12783,13311,13693
 "42000","Pennsylvania",2,SAEXP2,3,"...","  Durable goods","Dollars",2497,2679,2900,3041,3145,3285,3405,3569,3587,3557,3620,3434,3274,3417,3559,3666,3729,3785,3886,3968,4093,4265,4411
 "42000","Pennsylvania",2,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1048,1130,1214,1232,1295,1361,1382,1417,1351,1253,1270,1107,1079,1176,1234,1300,1353,1409,1490,1516,1564,1617,1616
 "42000","Pennsylvania",2,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",552,581,626,679,706,738,759,813,850,854,861,836,764,774,789,802,811,822,862,907,952,992,1040
 "42000","Pennsylvania",2,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",585,636,697,744,773,804,855,911,944,982,1001,1011,960,977,1012,1036,1027,1008,981,981,1002,1063,1151
 "42000","Pennsylvania",2,SAEXP2,7,"...","   Other durable goods","Dollars",311,332,362,385,371,382,409,428,442,468,488,481,470,490,525,528,537,547,552,564,574,592,603
 "42000","Pennsylvania",2,SAEXP2,8,"...","  Nondurable goods","Dollars",4679,4787,5133,5489,5587,5676,6075,6346,6696,7009,7274,7618,7352,7657,8070,8161,8234,8343,8284,8458,8690,9046,9283
 "42000","Pennsylvania",2,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1710,1736,1828,1920,1966,1993,2135,2162,2256,2350,2464,2593,2582,2606,2656,2724,2735,2745,2802,2896,2935,2991,3054
 "42000","Pennsylvania",2,SAEXP2,10,"...","   Clothing and footwear","Dollars",898,931,983,1011,972,959,997,997,1011,1010,1006,993,973,1004,1042,1044,1054,1073,1086,1108,1104,1132,1136
 "42000","Pennsylvania",2,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",518,456,499,625,611,571,673,825,985,1090,1166,1343,1020,1192,1441,1421,1377,1324,1030,931,1012,1137,1099
 "42000","Pennsylvania",2,SAEXP2,12,"...","   Other nondurable goods","Dollars",1552,1665,1823,1933,2038,2153,2270,2362,2444,2559,2638,2688,2777,2856,2931,2971,3068,3201,3365,3522,3639,3786,3993
 "42000","Pennsylvania",2,SAEXP2,13,"..."," Services","Dollars",13280,14086,14779,15852,16724,17397,18377,19415,20593,21674,22669,23529,23456,24193,24923,25398,26016,26986,28028,28925,30040,31519,32809
 "42000","Pennsylvania",2,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12654,13335,13954,14950,15703,16320,17251,18258,19414,20361,21289,22024,21951,22690,23376,23816,24387,25308,26356,27156,28190,29555,30804
 "42000","Pennsylvania",2,SAEXP2,15,"...","   Housing and utilities","Dollars",3210,3347,3494,3723,4001,4108,4268,4466,4780,4995,5192,5375,5408,5473,5631,5760,5978,6266,6566,6821,7088,7383,7667
