GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "94000","Plains",4,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20031,21029,22341,23738,24588,25441,26505,27798,28973,30150,31287,32195,31826,32653,34067,35099,35769,36807,37664,38699,40108,41613,42696
 "94000","Plains",4,SAEXP2,2,"..."," Goods","Dollars",7718,7988,8534,8976,9184,9371,9716,10230,10595,10922,11250,11447,10908,11282,11961,12331,12443,12628,12504,12576,12956,13363,13544
 "94000","Plains",4,SAEXP2,3,"...","  Durable goods","Dollars",2850,3036,3256,3365,3465,3596,3671,3838,3846,3842,3920,3763,3606,3699,3817,3980,4059,4177,4337,4436,4580,4739,4853
 "94000","Plains",4,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1204,1284,1369,1363,1441,1471,1439,1435,1384,1306,1329,1192,1168,1269,1328,1429,1469,1539,1637,1654,1710,1772,1770
 "94000","Plains",4,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",584,620,669,716,721,760,794,852,869,884,883,846,779,776,792,824,842,868,906,948,979,1011,1033
 "94000","Plains",4,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",688,735,796,840,863,911,960,1044,1072,1100,1130,1135,1066,1039,1051,1066,1085,1092,1101,1140,1196,1240,1319
 "94000","Plains",4,SAEXP2,7,"...","   Other durable goods","Dollars",373,397,422,446,439,453,478,506,522,552,578,590,594,615,645,660,663,678,692,695,696,715,731
 "94000","Plains",4,SAEXP2,8,"...","  Nondurable goods","Dollars",4868,4952,5279,5612,5719,5775,6045,6392,6749,7080,7329,7684,7301,7583,8145,8352,8383,8450,8167,8140,8375,8624,8691
 "94000","Plains",4,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1728,1767,1845,1904,1968,1986,2039,2138,2221,2256,2350,2451,2497,2491,2592,2664,2686,2731,2758,2789,2840,2869,2872
 "94000","Plains",4,SAEXP2,10,"...","   Clothing and footwear","Dollars",802,827,850,876,864,862,880,895,911,921,918,915,894,913,939,961,965,985,998,1010,1009,1030,1031
 "94000","Plains",4,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",674,611,683,835,802,751,880,1033,1244,1406,1510,1725,1262,1483,1826,1864,1830,1733,1318,1152,1257,1389,1322
 "94000","Plains",4,SAEXP2,12,"...","   Other nondurable goods","Dollars",1664,1747,1901,1997,2085,2175,2246,2326,2373,2496,2551,2594,2647,2696,2788,2863,2903,3001,3093,3188,3269,3337,3465
 "94000","Plains",4,SAEXP2,13,"..."," Services","Dollars",12313,13041,13807,14762,15404,16070,16789,17568,18378,19229,20038,20748,20918,21371,22106,22767,23326,24179,25159,26123,27153,28250,29153
 "94000","Plains",4,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11835,12495,13178,14050,14619,15240,15912,16693,17543,18313,19137,19729,19867,20302,20973,21550,22079,22907,23861,24738,25700,26745,27638
 "94000","Plains",4,SAEXP2,15,"...","   Housing and utilities","Dollars",3131,3268,3416,3643,3896,3989,4147,4344,4667,4899,5077,5220,5263,5292,5425,5548,5723,5935,6158,6406,6658,6951,7216
 "94000","Plains",4,SAEXP2,16,"...","   Health care","Dollars",2979,3127,3270,3446,3726,4037,4240,4469,4709,4890,5164,5402,5611,5761,5953,6129,6229,6419,6738,7049,7277,7524,7805
 "94000","Plains",4,SAEXP2,17,"...","   Transportation services","Dollars",761,791,849,889,876,852,847,868,890,916,937,955,908,911,966,993,1038,1106,1136,1162,1201,1245,1267
 "94000","Plains",4,SAEXP2,18,"...","   Recreation services","Dollars",865,903,950,981,980,1042,1099,1149,1173,1257,1333,1360,1384,1426,1439,1516,1565,1614,1678,1740,1769,1823,1850
 "94000","Plains",4,SAEXP2,19,"...","   Food services and accommodations","Dollars",1175,1229,1281,1355,1375,1428,1501,1590,1669,1752,1818,1862,1855,1894,1968,2044,2115,2189,2294,2352,2418,2493,2540
 "94000","Plains",4,SAEXP2,20,"...","   Financial services and insurance","Dollars",1322,1453,1601,1799,1735,1776,1849,1975,2089,2145,2264,2347,2244,2401,2561,2643,2743,2907,3047,3143,3383,3576,3689
 "94000","Plains",4,SAEXP2,21,"...","   Other services","Dollars",1602,1723,1812,1937,2031,2117,2230,2298,2346,2454,2543,2582,2602,2617,2661,2676,2666,2737,2810,2887,2995,3133,3271
 "94000","Plains",4,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",478,546,629,712,785,831,876,875,835,916,901,1019,1051,1069,1133,1217,1247,1273,1298,1386,1452,1505,1515
 "94000","Plains",4,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1973,2070,2242,2420,2589,2756,2865,2986,3032,3185,3241,3409,3549,3654,3785,3950,4032,4128,4314,4556,4747,4911,5092
 "94000","Plains",4,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1495,1524,1613,1708,1804,1925,1989,2111,2196,2269,2341,2390,2498,2585,2652,2733,2785,2855,3016,3170,3295,3406,3577
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
