GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "44000","Rhode Island",1,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20096,20942,21986,23918,24911,26150,27905,29506,31468,32887,34209,35066,34694,35478,36524,37187,38096,39680,41241,42338,43918,45655,47045
 "44000","Rhode Island",1,SAEXP2,2,"..."," Goods","Dollars",6246,6377,7011,7791,7999,8454,9018,9478,10060,10230,10378,10255,9763,10061,10413,10617,10889,11421,11690,11937,12601,13310,13679
 "44000","Rhode Island",1,SAEXP2,3,"...","  Durable goods","Dollars",1790,1911,2141,2390,2493,2740,2917,3042,3142,3169,3121,2858,2698,2782,2861,2919,3012,3140,3249,3313,3453,3598,3674
 "44000","Rhode Island",1,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",731,810,895,993,1049,1154,1213,1187,1170,1087,1071,909,890,949,972,993,1041,1117,1160,1148,1185,1249,1241
 "44000","Rhode Island",1,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",395,416,466,531,550,622,659,708,738,762,736,681,614,619,634,657,669,698,730,781,849,894,933
 "44000","Rhode Island",1,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",427,436,496,545,585,637,684,752,816,862,829,793,738,735,748,746,761,760,765,781,799,822,854
 "44000","Rhode Island",1,SAEXP2,7,"...","   Other durable goods","Dollars",237,250,284,322,309,326,361,395,417,458,486,475,455,479,508,523,541,565,595,604,620,634,647
 "44000","Rhode Island",1,SAEXP2,8,"...","  Nondurable goods","Dollars",4456,4466,4870,5401,5506,5714,6101,6436,6918,7062,7257,7397,7065,7279,7552,7698,7876,8281,8440,8624,9148,9711,10004
 "44000","Rhode Island",1,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1665,1673,1769,1906,1927,2027,2099,2178,2281,2385,2499,2550,2539,2566,2629,2687,2766,2894,2988,3074,3191,3324,3393
 "44000","Rhode Island",1,SAEXP2,10,"...","   Clothing and footwear","Dollars",742,750,827,906,865,877,907,958,984,1020,921,886,810,831,857,905,906,929,938,946,947,973,979
 "44000","Rhode Island",1,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",521,451,482,593,591,568,741,822,958,967,996,1133,835,910,1083,1052,1085,1088,861,783,881,1060,1043
 "44000","Rhode Island",1,SAEXP2,12,"...","   Other nondurable goods","Dollars",1527,1592,1792,1997,2122,2242,2355,2478,2695,2690,2841,2828,2881,2973,2983,3054,3119,3369,3653,3821,4129,4355,4590
 "44000","Rhode Island",1,SAEXP2,13,"..."," Services","Dollars",13849,14565,14975,16126,16912,17695,18887,20028,21408,22657,23831,24811,24932,25417,26111,26570,27207,28259,29552,30401,31317,32345,33367
 "44000","Rhode Island",1,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",13140,13719,14110,15170,15877,16565,17672,18802,20095,21225,22314,23176,23324,23834,24485,24874,25441,26483,27790,28571,29449,30435,31448
 "44000","Rhode Island",1,SAEXP2,15,"...","   Housing and utilities","Dollars",3967,4125,4309,4557,4876,4977,5220,5497,5986,6423,6751,7148,7238,7254,7423,7520,7698,7968,8388,8565,8758,9042,9248
 "44000","Rhode Island",1,SAEXP2,16,"...","   Health care","Dollars",3434,3586,3468,3669,3838,4169,4426,4771,5082,5367,5679,5956,6189,6331,6472,6601,6649,6923,7253,7364,7470,7583,7889
 "44000","Rhode Island",1,SAEXP2,17,"...","   Transportation services","Dollars",575,619,653,736,755,718,786,833,891,894,922,916,891,907,967,989,1048,1100,1156,1212,1277,1352,1400
 "44000","Rhode Island",1,SAEXP2,18,"...","   Recreation services","Dollars",682,693,715,791,843,859,931,999,1092,1193,1276,1355,1376,1438,1442,1495,1549,1618,1681,1748,1826,1856,1891
 "44000","Rhode Island",1,SAEXP2,19,"...","   Food services and accommodations","Dollars",1308,1330,1466,1603,1661,1762,1883,1986,2079,2156,2235,2269,2248,2349,2459,2578,2687,2879,3133,3367,3552,3796,4023
 "44000","Rhode Island",1,SAEXP2,20,"...","   Financial services and insurance","Dollars",1296,1397,1521,1700,1646,1712,1835,1998,2148,2220,2286,2314,2158,2289,2403,2434,2502,2614,2721,2760,2902,2996,3048
 "44000","Rhode Island",1,SAEXP2,21,"...","   Other services","Dollars",1879,1968,1979,2115,2258,2367,2591,2717,2818,2971,3166,3218,3224,3265,3319,3257,3308,3382,3459,3554,3663,3810,3949
 "44000","Rhode Island",1,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",709,847,865,956,1035,1130,1214,1227,1313,1432,1517,1635,1608,1583,1625,1695,1766,1776,1762,1830,1868,1910,1919
 "44000","Rhode Island",1,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2341,2544,2576,2724,2890,3122,3360,3514,3689,3944,4151,4352,4432,4511,4621,4753,4911,4968,5063,5153,5229,5306,5466
 "44000","Rhode Island",1,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1632,1697,1711,1768,1855,1992,2146,2287,2377,2512,2634,2716,2824,2928,2996,3057,3145,3192,3301,3322,3361,3395,3548
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
