GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "47000","Tennessee",5,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",18598,19393,20493,21617,22103,22779,23658,24800,25919,27115,27860,28064,27389,28309,29344,29995,30346,31465,32473,33669,34985,36485,37582
 "47000","Tennessee",5,SAEXP2,2,"..."," Goods","Dollars",7595,7932,8528,8910,8854,8899,9180,9666,10061,10410,10772,10661,9994,10465,11046,11250,11289,11527,11554,11740,12088,12550,12867
 "47000","Tennessee",5,SAEXP2,3,"...","  Durable goods","Dollars",2805,3011,3241,3310,3303,3336,3387,3524,3605,3638,3689,3315,2977,3146,3245,3352,3432,3579,3757,3900,4046,4193,4289
 "47000","Tennessee",5,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1298,1383,1488,1473,1482,1523,1484,1469,1451,1372,1391,1122,999,1131,1198,1282,1302,1387,1506,1548,1576,1625,1595
 "47000","Tennessee",5,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",616,655,697,733,723,726,747,795,835,858,860,782,701,725,734,745,772,797,840,892,940,983,1018
 "47000","Tennessee",5,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",631,689,748,770,775,767,814,890,935,1001,998,981,867,859,859,860,894,914,915,958,1018,1059,1140
 "47000","Tennessee",5,SAEXP2,7,"...","   Other durable goods","Dollars",260,285,307,334,323,321,342,369,384,406,441,429,410,431,454,465,464,481,496,503,512,526,537
 "47000","Tennessee",5,SAEXP2,8,"...","  Nondurable goods","Dollars",4790,4921,5288,5600,5551,5562,5793,6143,6456,6772,7083,7347,7017,7319,7801,7898,7857,7948,7797,7840,8043,8357,8577
 "47000","Tennessee",5,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1708,1756,1851,1894,1874,1846,1885,1952,2038,2134,2283,2392,2478,2527,2654,2677,2668,2669,2666,2662,2653,2705,2755
 "47000","Tennessee",5,SAEXP2,10,"...","   Clothing and footwear","Dollars",912,955,971,979,963,933,912,940,965,976,986,938,877,915,947,967,964,980,1008,1027,1044,1074,1082
 "47000","Tennessee",5,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",605,535,603,756,643,590,660,788,945,1048,1135,1305,908,1052,1299,1331,1271,1248,939,842,957,1094,1079
 "47000","Tennessee",5,SAEXP2,12,"...","   Other nondurable goods","Dollars",1565,1675,1863,1970,2071,2193,2337,2463,2508,2613,2680,2712,2755,2823,2900,2924,2954,3051,3184,3309,3389,3484,3662
 "47000","Tennessee",5,SAEXP2,13,"..."," Services","Dollars",11003,11461,11965,12707,13250,13880,14479,15134,15858,16704,17088,17403,17396,17845,18298,18745,19057,19938,20919,21930,22896,23934,24716
 "47000","Tennessee",5,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",10846,11280,11750,12416,12948,13502,14143,14813,15579,16330,16746,16962,16956,17415,17829,18231,18515,19375,20377,21354,22299,23322,24118
 "47000","Tennessee",5,SAEXP2,15,"...","   Housing and utilities","Dollars",3098,3261,3397,3582,3808,3923,4055,4215,4483,4673,4791,4937,4968,5040,5137,5170,5260,5454,5652,5908,6100,6396,6665
 "47000","Tennessee",5,SAEXP2,16,"...","   Health care","Dollars",3040,3061,3094,3250,3500,3735,3937,4208,4409,4664,4781,4850,5003,5140,5218,5415,5460,5659,5965,6154,6302,6456,6584
 "47000","Tennessee",5,SAEXP2,17,"...","   Transportation services","Dollars",488,505,537,564,540,510,532,549,573,593,588,586,548,561,590,599,605,639,688,736,765,789,828
 "47000","Tennessee",5,SAEXP2,18,"...","   Recreation services","Dollars",647,642,650,678,696,744,801,832,849,927,939,957,938,975,982,1023,1044,1106,1165,1238,1328,1399,1405
 "47000","Tennessee",5,SAEXP2,19,"...","   Food services and accommodations","Dollars",1277,1300,1361,1386,1392,1442,1520,1594,1692,1761,1834,1827,1812,1890,1969,2066,2083,2213,2358,2511,2627,2787,2871
 "47000","Tennessee",5,SAEXP2,20,"...","   Financial services and insurance","Dollars",1059,1188,1331,1479,1435,1507,1585,1682,1780,1821,1857,1843,1716,1825,1934,1969,2052,2201,2311,2438,2686,2910,3047
 "47000","Tennessee",5,SAEXP2,21,"...","   Other services","Dollars",1237,1324,1381,1478,1577,1642,1711,1733,1792,1891,1955,1962,1971,1984,1999,1988,2010,2104,2239,2369,2491,2583,2717
 "47000","Tennessee",5,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",157,181,214,291,302,378,336,321,279,375,341,441,440,430,469,514,542,563,542,576,597,613,598
 "47000","Tennessee",5,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1281,1377,1464,1629,1715,1926,1946,2041,2113,2317,2379,2505,2592,2678,2785,2895,2972,3013,3223,3317,3463,3541,3597
 "47000","Tennessee",5,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1124,1196,1250,1339,1413,1548,1610,1721,1834,1942,2037,2065,2153,2248,2316,2381,2430,2450,2681,2741,2866,2928,3000
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
