GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "48000","Texas",6,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",19327,20253,21258,22675,23461,23828,24511,25537,27059,28172,29162,29776,29185,29955,31370,32461,33237,34597,35568,36389,37664,39344,40552
 "48000","Texas",6,SAEXP2,2,"..."," Goods","Dollars",7211,7515,8034,8548,8724,8725,8928,9377,10133,10528,11001,10901,10217,10567,11287,11770,11996,12392,12404,12431,12810,13326,13509
 "48000","Texas",6,SAEXP2,3,"...","  Durable goods","Dollars",2691,2943,3197,3391,3461,3511,3479,3613,3775,3882,4028,3719,3365,3447,3612,3836,3954,4119,4320,4369,4497,4691,4778
 "48000","Texas",6,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1259,1390,1514,1600,1695,1697,1635,1617,1613,1580,1644,1417,1275,1362,1446,1632,1695,1791,1884,1858,1897,1957,1924
 "48000","Texas",6,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",557,595,659,707,706,729,718,757,813,854,884,844,770,767,788,798,829,873,935,973,991,1044,1071
 "48000","Texas",6,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",561,622,666,702,697,712,736,822,907,963,989,957,840,822,838,850,878,891,904,940,1000,1060,1147
 "48000","Texas",6,SAEXP2,7,"...","   Other durable goods","Dollars",315,336,358,382,363,372,390,416,442,485,510,501,480,496,540,556,552,565,597,598,609,630,636
 "48000","Texas",6,SAEXP2,8,"...","  Nondurable goods","Dollars",4519,4572,4837,5157,5263,5215,5449,5765,6357,6646,6973,7182,6852,7121,7674,7934,8042,8273,8084,8063,8313,8635,8730
 "48000","Texas",6,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1652,1666,1746,1804,1867,1852,1911,2013,2121,2197,2278,2363,2360,2389,2501,2596,2629,2727,2759,2763,2821,2888,2923
 "48000","Texas",6,SAEXP2,10,"...","   Clothing and footwear","Dollars",913,940,967,1000,978,962,976,981,1046,1105,1118,1081,1054,1077,1146,1186,1187,1194,1206,1224,1220,1259,1258
 "48000","Texas",6,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",556,489,528,666,657,606,694,826,1103,1075,1184,1299,966,1133,1425,1475,1473,1441,1055,916,1005,1133,1092
 "48000","Texas",6,SAEXP2,12,"...","   Other nondurable goods","Dollars",1399,1476,1595,1687,1760,1795,1868,1944,2087,2269,2393,2439,2472,2521,2602,2677,2751,2910,3065,3160,3267,3354,3457
 "48000","Texas",6,SAEXP2,13,"..."," Services","Dollars",12116,12738,13225,14128,14737,15102,15583,16160,16927,17645,18161,18876,18968,19387,20083,20691,21241,22206,23164,23957,24854,26018,27043
 "48000","Texas",6,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11860,12429,12873,13713,14263,14576,15015,15595,16403,17085,17627,18238,18314,18739,19410,19941,20477,21422,22399,23144,24022,25158,26198
 "48000","Texas",6,SAEXP2,15,"...","   Housing and utilities","Dollars",3433,3558,3652,3860,4098,4146,4298,4491,4780,5015,5023,5142,5092,5050,5137,5157,5298,5520,5783,5995,6262,6624,6885
 "48000","Texas",6,SAEXP2,16,"...","   Health care","Dollars",2576,2703,2755,2894,3167,3445,3579,3744,3951,4063,4249,4461,4680,4798,4915,5080,5089,5288,5621,5838,5928,6059,6279
 "48000","Texas",6,SAEXP2,17,"...","   Transportation services","Dollars",675,726,772,838,814,765,750,750,768,792,809,838,793,810,887,928,984,1046,1036,1060,1105,1181,1210
 "48000","Texas",6,SAEXP2,18,"...","   Recreation services","Dollars",676,728,794,862,895,928,945,980,1003,1059,1117,1160,1176,1227,1252,1323,1373,1422,1473,1532,1586,1645,1696
 "48000","Texas",6,SAEXP2,19,"...","   Food services and accommodations","Dollars",1218,1275,1333,1429,1449,1464,1525,1615,1719,1825,1895,1962,1969,2019,2132,2240,2338,2468,2612,2669,2771,2896,2993
 "48000","Texas",6,SAEXP2,20,"...","   Financial services and insurance","Dollars",1840,1841,1880,1987,1876,1823,1848,1902,2028,2077,2183,2263,2189,2415,2593,2670,2808,2983,3107,3202,3424,3669,3880
 "48000","Texas",6,SAEXP2,21,"...","   Other services","Dollars",1441,1598,1687,1842,1964,2006,2071,2113,2154,2254,2351,2411,2416,2419,2494,2544,2587,2694,2769,2848,2946,3083,3256
 "48000","Texas",6,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",256,309,351,415,474,527,568,564,524,560,534,638,654,649,674,750,763,784,765,814,832,860,845
 "48000","Texas",6,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1435,1553,1631,1757,1895,2050,2208,2315,2418,2513,2563,2692,2785,2847,2902,3015,3062,3193,3304,3460,3534,3631,3741
 "48000","Texas",6,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1179,1244,1280,1342,1422,1524,1640,1751,1894,1954,2028,2054,2131,2198,2228,2265,2299,2409,2540,2646,2703,2770,2896
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
