GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "49000","Utah",7,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",18017,18795,19679,20696,21238,21908,22619,24099,25666,27273,28440,28764,27648,28012,28848,29790,30550,31876,33148,34529,36044,38010,39514
 "49000","Utah",7,SAEXP2,2,"..."," Goods","Dollars",7186,7462,8003,8129,8070,8240,8508,9214,9842,10523,11145,10878,9834,9922,10183,10585,10861,11286,11528,11887,12486,13310,13707
 "49000","Utah",7,SAEXP2,3,"...","  Durable goods","Dollars",2814,2928,3119,3179,3136,3268,3284,3582,3892,4075,4362,3896,3378,3365,3416,3601,3825,4032,4330,4589,4901,5216,5460
 "49000","Utah",7,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1081,1126,1145,1171,1182,1253,1202,1252,1295,1314,1404,1211,1064,1078,1129,1226,1313,1360,1467,1502,1592,1682,1676
 "49000","Utah",7,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",697,724,762,784,772,789,800,886,948,1039,1123,997,844,822,799,832,877,924,1002,1069,1121,1210,1286
 "49000","Utah",7,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",727,757,878,880,848,881,916,1050,1221,1238,1307,1181,988,973,980,1016,1100,1198,1271,1413,1563,1673,1839
 "49000","Utah",7,SAEXP2,7,"...","   Other durable goods","Dollars",310,322,334,344,333,344,366,393,427,484,528,507,482,492,509,526,536,550,589,606,624,650,659
 "49000","Utah",7,SAEXP2,8,"...","  Nondurable goods","Dollars",4372,4533,4883,4950,4935,4973,5224,5632,5950,6448,6783,6982,6456,6557,6767,6984,7036,7255,7198,7297,7586,8094,8246
 "49000","Utah",7,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1671,1811,1899,1843,1787,1773,1846,2000,2079,2217,2369,2472,2419,2404,2400,2396,2391,2505,2543,2585,2629,2708,2762
 "49000","Utah",7,SAEXP2,10,"...","   Clothing and footwear","Dollars",807,811,837,825,816,820,844,869,899,955,978,944,920,897,916,965,973,963,981,1002,1018,1082,1100
 "49000","Utah",7,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",560,512,581,740,686,615,686,819,964,1115,1197,1323,913,1024,1248,1333,1309,1266,975,869,978,1106,1078
 "49000","Utah",7,SAEXP2,12,"...","   Other nondurable goods","Dollars",1334,1399,1567,1542,1645,1764,1848,1944,2008,2161,2239,2244,2204,2232,2203,2290,2363,2522,2698,2841,2961,3198,3307
 "49000","Utah",7,SAEXP2,13,"..."," Services","Dollars",10831,11333,11677,12568,13168,13667,14111,14885,15824,16749,17295,17886,17814,18090,18664,19205,19689,20589,21620,22642,23557,24700,25808
 "49000","Utah",7,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",10509,10970,11284,12123,12669,13120,13589,14388,15331,16175,16699,17232,17180,17477,18042,18513,18979,19855,20917,21930,22823,23951,25089
 "49000","Utah",7,SAEXP2,15,"...","   Housing and utilities","Dollars",3580,3732,3879,4068,4333,4411,4517,4762,5024,5210,5269,5342,5370,5339,5484,5584,5736,5907,6192,6373,6532,6738,6969
 "49000","Utah",7,SAEXP2,16,"...","   Health care","Dollars",2055,2097,2076,2260,2446,2683,2836,3100,3329,3514,3630,3826,3952,4000,4116,4258,4328,4547,4660,4877,4999,5122,5259
 "49000","Utah",7,SAEXP2,17,"...","   Transportation services","Dollars",734,777,805,833,800,772,815,801,863,889,925,938,868,854,907,931,986,1024,1041,1096,1126,1182,1224
 "49000","Utah",7,SAEXP2,18,"...","   Recreation services","Dollars",745,787,836,921,978,1026,1002,1036,1085,1155,1145,1145,1143,1219,1249,1360,1439,1470,1582,1744,1831,1943,2044
 "49000","Utah",7,SAEXP2,19,"...","   Food services and accommodations","Dollars",1117,1147,1176,1254,1279,1325,1333,1387,1460,1564,1631,1693,1611,1638,1709,1797,1878,2010,2184,2284,2351,2470,2564
 "49000","Utah",7,SAEXP2,20,"...","   Financial services and insurance","Dollars",1079,1157,1248,1392,1393,1464,1573,1712,1884,1993,2195,2337,2274,2423,2538,2545,2604,2792,3035,3240,3578,3914,4253
 "49000","Utah",7,SAEXP2,21,"...","   Other services","Dollars",1199,1272,1263,1395,1440,1439,1512,1589,1688,1850,1904,1951,1963,2004,2039,2038,2008,2105,2224,2315,2405,2582,2776
 "49000","Utah",7,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",323,364,393,445,498,547,522,497,493,574,596,654,634,613,623,691,710,735,703,712,735,750,718
 "49000","Utah",7,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1585,1612,1654,1765,1899,2051,1985,1993,2059,2263,2383,2528,2628,2712,2813,3006,3067,3218,3249,3475,3507,3590,3806
 "49000","Utah",7,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1262,1248,1261,1320,1400,1504,1463,1496,1566,1689,1787,1874,1994,2099,2191,2315,2357,2483,2546,2763,2772,2840,3088
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
