GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "51000","Virginia",5,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",20031,21306,22839,24501,25382,26242,27647,29549,31559,33181,34527,35512,35089,35919,37034,38011,38624,39785,40906,42202,43578,45235,46539
 "51000","Virginia",5,SAEXP2,2,"..."," Goods","Dollars",7603,7950,8657,9198,9343,9577,10001,10681,11262,11694,11890,11826,11086,11456,11961,12200,12281,12353,12380,12440,12865,13339,13722
 "51000","Virginia",5,SAEXP2,3,"...","  Durable goods","Dollars",2662,2904,3209,3398,3471,3607,3757,4036,4179,4213,4222,3898,3586,3663,3751,3862,3946,4002,4148,4201,4306,4495,4668
 "51000","Virginia",5,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1088,1180,1277,1345,1414,1484,1511,1591,1576,1485,1493,1274,1180,1260,1288,1366,1398,1442,1530,1563,1587,1641,1642
 "51000","Virginia",5,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",641,689,767,799,831,900,937,1018,1072,1079,1045,959,858,855,876,890,911,927,977,1002,1037,1076,1106
 "51000","Virginia",5,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",592,670,765,839,822,802,854,934,1009,1077,1084,1076,980,962,974,983,1011,998,985,985,1035,1108,1234
 "51000","Virginia",5,SAEXP2,7,"...","   Other durable goods","Dollars",341,364,400,415,404,421,454,494,522,572,600,590,568,586,613,625,626,636,655,651,647,670,686
 "51000","Virginia",5,SAEXP2,8,"...","  Nondurable goods","Dollars",4941,5047,5448,5800,5872,5970,6244,6644,7083,7481,7669,7928,7500,7793,8210,8337,8335,8350,8233,8239,8559,8844,9054
 "51000","Virginia",5,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1766,1793,1889,1976,2021,2075,2125,2211,2326,2430,2516,2616,2609,2653,2736,2811,2797,2836,2890,2950,3068,3125,3191
 "51000","Virginia",5,SAEXP2,10,"...","   Clothing and footwear","Dollars",974,1007,1076,1065,1052,1054,1081,1133,1161,1190,1172,1140,1084,1115,1132,1152,1148,1151,1155,1156,1147,1169,1179
 "51000","Virginia",5,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",598,541,601,754,730,689,808,939,1144,1267,1337,1498,1086,1260,1488,1482,1434,1353,1012,879,982,1095,1042
 "51000","Virginia",5,SAEXP2,12,"...","   Other nondurable goods","Dollars",1603,1705,1882,2005,2069,2152,2230,2361,2453,2593,2643,2674,2720,2765,2854,2892,2956,3011,3175,3254,3361,3454,3642
 "51000","Virginia",5,SAEXP2,13,"..."," Services","Dollars",12429,13355,14182,15303,16039,16665,17646,18868,20297,21487,22637,23686,24003,24463,25073,25812,26343,27432,28525,29762,30712,31896,32816
 "51000","Virginia",5,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",12277,13143,13948,15045,15742,16313,17266,18503,19924,21031,22169,23039,23359,23795,24374,25015,25546,26579,27752,28901,29884,30978,31967
 "51000","Virginia",5,SAEXP2,15,"...","   Housing and utilities","Dollars",3927,4091,4271,4496,4745,4891,5057,5297,5651,5915,6190,6451,6689,6778,6942,7135,7387,7779,8249,8615,8937,9308,9654
 "51000","Virginia",5,SAEXP2,16,"...","   Health care","Dollars",2464,2561,2674,2826,3057,3310,3537,3796,4050,4245,4452,4701,4964,5077,5241,5435,5495,5698,5928,6238,6409,6603,6837
 "51000","Virginia",5,SAEXP2,17,"...","   Transportation services","Dollars",605,641,701,749,727,702,745,799,847,865,878,877,845,872,942,970,1000,1019,1044,1082,1123,1169,1195
 "51000","Virginia",5,SAEXP2,18,"...","   Recreation services","Dollars",611,710,774,849,903,864,921,1016,1102,1181,1252,1277,1295,1331,1320,1363,1374,1389,1411,1462,1470,1517,1549
 "51000","Virginia",5,SAEXP2,19,"...","   Food services and accommodations","Dollars",1308,1344,1414,1520,1555,1601,1712,1853,1984,2103,2180,2232,2194,2249,2327,2402,2471,2549,2708,2798,2857,2947,3010
 "51000","Virginia",5,SAEXP2,20,"...","   Financial services and insurance","Dollars",1277,1377,1519,1708,1703,1823,1987,2226,2554,2831,3125,3343,3305,3415,3535,3650,3740,3853,3982,4126,4367,4588,4665
 "51000","Virginia",5,SAEXP2,21,"...","   Other services","Dollars",2084,2420,2597,2896,3053,3120,3307,3515,3736,3892,4092,4159,4067,4072,4067,4060,4079,4292,4431,4580,4721,4848,5057
 "51000","Virginia",5,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",152,212,234,258,297,352,380,365,373,456,468,647,644,668,699,797,797,853,773,861,828,918,849
 "51000","Virginia",5,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",1576,1745,1802,1877,2018,2213,2390,2522,2679,2845,2984,3246,3358,3468,3569,3741,3808,3923,3997,4252,4344,4539,4626
 "51000","Virginia",5,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1424,1532,1568,1620,1721,1861,2010,2157,2306,2389,2516,2599,2714,2800,2870,2944,3011,3069,3224,3391,3516,3622,3777
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
