GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "55000","Wisconsin",3,SAEXP2,1,"...","Per capita personal consumption expenditures","Dollars",19801,20833,22171,23478,24345,25163,26388,27790,29105,30497,31574,32485,32120,32992,34225,34767,35662,36799,37855,39075,40445,42130,43168
 "55000","Wisconsin",3,SAEXP2,2,"..."," Goods","Dollars",7346,7593,8201,8615,8683,8823,9135,9644,9998,10437,10664,10816,10283,10627,11182,11344,11647,11996,12016,12284,12708,13297,13554
 "55000","Wisconsin",3,SAEXP2,3,"...","  Durable goods","Dollars",2700,2885,3145,3221,3281,3403,3488,3630,3639,3600,3610,3458,3288,3370,3441,3503,3707,3940,4119,4297,4470,4687,4783
 "55000","Wisconsin",3,SAEXP2,4,"...","   Motor vehicles and parts","Dollars",1185,1259,1361,1365,1421,1442,1408,1384,1319,1201,1211,1096,1071,1137,1183,1251,1310,1394,1494,1530,1605,1662,1661
 "55000","Wisconsin",3,SAEXP2,5,"...","   Furnishings and durable household equipment","Dollars",587,629,695,720,727,762,798,859,877,879,855,807,747,759,767,761,791,831,895,950,974,1042,1054
 "55000","Wisconsin",3,SAEXP2,6,"...","   Recreational goods and vehicles","Dollars",663,719,788,827,829,883,944,1029,1071,1113,1116,1125,1038,1035,1041,1040,1141,1230,1249,1334,1407,1488,1574
 "55000","Wisconsin",3,SAEXP2,7,"...","   Other durable goods","Dollars",265,278,301,309,303,316,338,358,372,407,428,431,431,439,449,451,465,484,481,483,483,495,495
 "55000","Wisconsin",3,SAEXP2,8,"...","  Nondurable goods","Dollars",4647,4708,5056,5394,5403,5421,5647,6014,6359,6837,7054,7358,6994,7257,7741,7841,7940,8056,7897,7986,8239,8611,8771
 "55000","Wisconsin",3,SAEXP2,9,"...","   Food and beverages purchased for off-premises consumption","Dollars",1844,1850,1932,1973,1988,2001,2021,2136,2230,2371,2469,2526,2523,2522,2608,2671,2675,2712,2734,2787,2846,2923,2959
 "55000","Wisconsin",3,SAEXP2,10,"...","   Clothing and footwear","Dollars",765,783,830,839,835,827,845,855,858,870,854,856,839,857,872,877,907,925,943,967,973,1002,1001
 "55000","Wisconsin",3,SAEXP2,11,"...","   Gasoline and other energy goods","Dollars",594,529,600,746,717,675,797,931,1110,1263,1342,1531,1109,1289,1580,1589,1547,1470,1160,1044,1160,1344,1307
 "55000","Wisconsin",3,SAEXP2,12,"...","   Other nondurable goods","Dollars",1445,1545,1694,1837,1863,1918,1984,2092,2160,2332,2389,2445,2524,2589,2681,2703,2811,2949,3060,3188,3260,3341,3503
 "55000","Wisconsin",3,SAEXP2,13,"..."," Services","Dollars",12455,13240,13970,14863,15661,16340,17253,18146,19107,20060,20910,21669,21837,22365,23043,23424,24015,24803,25839,26791,27737,28832,29614
 "55000","Wisconsin",3,SAEXP2,14,"...","  Household consumption expenditures (for services)","Dollars",11827,12518,13213,14025,14764,15391,16225,17114,18066,18940,19794,20405,20517,21011,21584,21863,22376,23165,24181,25022,25895,26918,27676
 "55000","Wisconsin",3,SAEXP2,15,"...","   Housing and utilities","Dollars",3345,3498,3698,3946,4208,4349,4543,4733,5065,5300,5479,5628,5582,5609,5745,5852,6004,6243,6410,6609,6830,7035,7273
 "55000","Wisconsin",3,SAEXP2,16,"...","   Health care","Dollars",2921,3086,3255,3477,3809,4142,4461,4801,5073,5344,5607,5918,6221,6381,6564,6632,6708,6902,7296,7577,7752,8067,8187
 "55000","Wisconsin",3,SAEXP2,17,"...","   Transportation services","Dollars",677,722,773,811,833,804,818,855,898,935,959,957,940,952,980,981,1018,1061,1093,1147,1187,1244,1269
 "55000","Wisconsin",3,SAEXP2,18,"...","   Recreation services","Dollars",833,858,900,902,946,989,1034,1086,1125,1193,1280,1301,1286,1298,1294,1305,1358,1401,1487,1582,1666,1748,1785
 "55000","Wisconsin",3,SAEXP2,19,"...","   Food services and accommodations","Dollars",1119,1155,1205,1285,1291,1328,1415,1505,1575,1664,1721,1741,1722,1775,1826,1889,1986,2065,2224,2301,2399,2479,2533
 "55000","Wisconsin",3,SAEXP2,20,"...","   Financial services and insurance","Dollars",1319,1466,1604,1772,1713,1731,1787,1881,1998,2052,2172,2261,2182,2394,2561,2600,2708,2851,2959,3007,3163,3311,3444
 "55000","Wisconsin",3,SAEXP2,21,"...","   Other services","Dollars",1614,1734,1777,1832,1964,2048,2168,2253,2333,2451,2576,2599,2584,2602,2615,2604,2596,2642,2712,2799,2898,3034,3185
 "55000","Wisconsin",3,SAEXP2,22,"...","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","Dollars",628,722,757,838,897,949,1027,1032,1041,1120,1116,1263,1320,1354,1458,1561,1639,1638,1658,1769,1842,1914,1938
 "55000","Wisconsin",3,SAEXP2,23,"...","   Gross output of nonprofit institutions","Dollars",2192,2310,2386,2540,2683,2848,3004,3132,3254,3391,3442,3672,3858,3998,4193,4397,4528,4576,4755,5000,5132,5364,5555
 "55000","Wisconsin",3,SAEXP2,24,"...","   Less: Receipts from sales of goods and services by nonprofit institutions","Dollars",1565,1588,1629,1702,1786,1899,1977,2099,2213,2271,2326,2408,2538,2644,2735,2837,2890,2937,3097,3230,3290,3450,3617
"Note: See the included footnote file."
"SAEXP2: Per capita personal consumption expenditures (PCE) by state 1/"
"Last updated: October 8, 2020-- new PCE by state statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
