name,pop2020,state,new_tests_per_million_per_day,GDP.millions.2019,GDP.millions.2020.counterfactual,total.income.millions.2019,personal.income2019,pop.2019.bea,total.income.millions.2020,personal.income2020,pop.2020.bea,PCE.millions.2019,PCE2019,GDP.millions.2019.2,GDP.millions.2020.2,total.income.millions.2019.2,total.income.millions.2020.2,PCE.millions.2019.2,PCE.millions.2020.2,personal.income2019.2,personal.income2020.2,PCE2019.2,PCE2020.2,employment2019,employment2020,GDP.percap.2019,GDP.percap.2019.2,GDP.percap.2020.counterfactual,GDP.percap.2020.2,us.median.income.2019,us.median.income.2020,us.personal.income.2019,us.personal.income.2020,median.income.2019.est,median.income.2020.est,median.income.2020.counterfactual,personal.income2020.counterfactual,daily.discount,weekly.discount,employment2019.rate,cost.fear,vsl.low,vsl.mid,vsl.high,cost.productivity,cost.medical,cost.learning.high,cost.learning.low,time.learning,cost.schools.direct,cost.work,cost.social,cost.mask,cost.test,cost.trace
Alabama,5024356,AL,8.965672048087448,234526.4,244141.98239999998,216587.5,43288,5003418,232040.3,46179,5024803,174016,34779.42478521683,231561.9,230892.1,216587.5,232040.3,177412.1,177093.9,43288,46119,35458,35244,2712163,2671253,46873.237454875845,46280.74248443764,48587.373952769885,45950.478058542794,35980,35860,56250,59763,27688.92871111111,27673.097736057425,28824.174788266664,45062.808,0.9998884707156994,0.9992152697058329,0.5420620463850911,1635.732541946171,4470000,8310000.000000001,10630000,554.3110536205128,3045,1934.1512323506472,252.2805955239975,36,24.293686976384944,22.17244214482051,22.17244214482051,2.24,0.006275970433661214,0.0031387999999999997
Alaska,733378,AK,40.12406968010932,54469.9,56703.1659,45056.8,61316,734823,45965.1,62756,732441,37090,50474.740175525265,54728.2,50475.2,45056.8,45965.1,37743.5,35831.5,61316,62715,51364,48921,454785,430824,74126.55836847785,74478.07159002917,77416.70100390339,68913.67359282181,35980,35860,56250,59763,39220.43875555556,37631.30866924351,40828.476744533335,63829.956,0.9998884707156994,0.9992152697058329,0.6189041442633124,2316.960278644692,4470000,8310000.000000001,10630000,785.1630143179488,3045,3081.7802130400005,401.97133213565223,36,38.7083505019517,31.406520572717948,31.406520572717948,2.24,0.028086848776076524,0.0031387999999999997
Arizona,7151507,AZ,15.485032107101274,375545,390942.345,340259.8,48124,7070511,375601.3,52327,7177986,276910.4,39164.128306992236,372393.5,382072.3,340259.8,375601.3,287272.8,288818.8,48124,52313,40630,40237,3929985,3920036,53114.265715731155,52668.541212933545,54464.07181624483,53228.34288057959,35980,35860,56250,59763,30782.249244444443,31389.725750046015,32044.321463466662,50097.083999999995,0.9998884707156994,0.9992152697058329,0.5558275773844351,1818.4714666562911,4470000,8310000.000000001,10630000,616.2369512205128,3045,2168.0890126851305,282.7942190458867,36,27.232035908122416,24.64947804882051,24.64947804882051,2.24,0.010839522474970891,0.0031387999999999997
Arkansas,3011555,AR,16.79984892368647,132637.2,138075.3252,133161.4,44324,3004248,142038.5,47154,3012232,105702.4,35184.31234704991,131578.3,133969.1,133161.4,142038.5,104158.6,104782.9,44324,47123,34670,34786,1664214,1640442,44149.883764589344,43797.41619200545,45838.21073542808,44475.02715594284,35980,35860,56250,59763,28351.600355555554,28275.534695380084,29514.01597013333,46141.284,0.9998884707156994,0.9992152697058329,0.5539536016999929,1674.8800866111178,4470000,8310000.000000001,10630000,567.5772301948717,3045,1824.7133888910794,238.0060942031843,36,22.919105367714042,22.703089207794868,22.703089207794868,2.24,0.011759894246580528,0.0031387999999999997
California,39538245,CA,18.92949295786986,3062158.9,3187707.4148999997,2567425.6,64919,39547996,2790523.5,70647,39499738,1947589.8,49246.232350180275,3042694.1,3020173.4,2567425.6,2790523.5,1917201.3,1848651.7,64919,70643,48478,46802,24227775,23155486,77428.92711934127,76936.74541688534,80701.98883091325,76460.59323228929,35980,35860,56250,59763,41525.07768888889,42388.40051536904,43227.605874133325,67580.67899999999,0.9998884707156994,0.9992152697058329,0.612617008457268,2453.107579250681,4470000,8310000.000000001,10630000,831.3001129641024,3045,3212.5599399998155,419.0295573912803,36,40.350994415456626,33.2520045185641,33.2520045185641,2.24,0.013250645070508903,0.0031387999999999997
Colorado,5773733,CO,15.487222058301855,397701.6,414007.36559999996,356341.3,62124,5735934,378051.4,65358,5784308,266987.6,46546.4909463742,394534.7,391263.3,356341.3,378051.4,272795.8,272276.5,62124,65352,47559,47072,3895377,3821923,69335.10741232378,68782.99157556555,71574.22557719954,67642.19678481852,35980,35860,56250,59763,39737.271466666665,39213.6057426836,41366.49959679999,64671.083999999995,0.9998884707156994,0.9992152697058329,0.6791181697697358,2347.4923405069285,4470000,8310000.000000001,10630000,795.5096076307691,3045,2849.20474893852,371.6354020354592,36,35.78711278859977,31.820384305230764,31.820384305230764,2.24,0.010841055440811298,0.0031387999999999997
Connecticut,3605942,CT,28.19491073296519,285466.4,297170.5224,272459.4,75533,3607159,282486.1,78463,3600260,195327.1,54149.84479475399,288536.3,276223.3,272459.4,282486.1,184842.1,180077,75533,78526,51243,50018,2298065,2217497,79138.84583407607,79989.90341152137,82541.40600956598,76723.15332781522,35980,35860,56250,59763,48314.26382222222,47118.490704951226,50295.14863893333,78629.85299999999,0.9998884707156994,0.9992152697058329,0.6370844756219507,2854.180976040015,4470000,8310000.000000001,10630000,967.214396902564,3045,3285.782893073107,428.58037735736184,36,41.270703004782995,38.68857587610256,38.68857587610256,2.24,0.019736437513075633,0.0031387999999999997
Delaware,989957,DE,20.767497821717424,78685.8,81911.9178,53202.5,54217,981297,55866.8,56324,991886,44624.7,45475.22309759431,76923.7,75818.6,53202.5,55866.8,45735.2,45112.3,54217,56311,46607,45481,602812,592045,80185.5095857829,78389.82489501139,82581.9880510462,76438.82462299094,35980,35860,56250,59763,34679.602844444446,33788.67292471931,36101.46656106666,56439.897,0.9998884707156994,0.9992152697058329,0.614301276779609,2048.708908397144,4470000,8310000.000000001,10630000,694.2589723282051,3045,3287.3983704935695,428.7910918035091,36,41.2909940255231,27.770358893128204,27.770358893128204,2.24,0.014537248475202198,0.0031387999999999997
District of Columbia,689546,DC,29.688358749498253,145171,151123.011,58203.2,84671,687408,61925.5,89735,690093,46122,67095.5240555827,143990.8,144720,58203.2,61925.5,49118.1,47733.5,84671,92307,71454,69170,915189,865878,211186.07871889765,209469.19442310825,218989.34056714096,209710.86505731835,35980,35860,56250,59763,54159.33475555555,55387.59801214799,56379.86748053333,88142.511,0.9998884707156994,0.9992152697058329,1.3313621604636547,3199.4804578433805,4470000,8310000.000000001,10630000,1084.2282207794872,3045,8717.460287961188,1137.060037560155,36,109.49467028357049,43.36912883117949,43.36912883117949,2.24,0.020781851124648774,0.0031387999999999997
Florida,21538226,FL,17.582157425623514,1127988.6,1174236.1326000001,1165093.1,54560,21354519,1235793.4,57292,21569932,923931.4,43266.31754150023,1111392.2,1116726.8,1165093.1,1235793.4,964269.4,954880.3,54560,57240,45155,44269,12761585,12720098,52822.009243102126,52044.82479797368,54438.564414574896,51772.38389068635,35980,35860,56250,59763,34899.00088888889,34346.10712313639,36329.85992533333,56796.96,0.9998884707156994,0.9992152697058329,0.5976058276002377,2061.6699198064844,4470000,8310000.000000001,10630000,698.6511524102564,3045,2167.073621887885,282.66177676798503,36,27.21928220728745,27.946046096410253,27.946046096410253,2.24,0.01230751019793646,0.0031387999999999997
